"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '-----------------------------------------------------')","[51784, 102134, 197209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-2015 Doctype added twice because root element (html) is inlined')","[20691, 41209, 71859, 91559, 135259, 176059]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-825')","[28707, 49159, 79809, 99509, 151159, 191959]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '             Fix For: 2.1.12-dev (Current SVN)')",[115934]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-2281 ""Communication tools that we use"" link to dev mailing list archive comes out at user mailing list archive')","[18391, 38909, 69559, 89259, 130659, 171459]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1648')","[141334, 182134]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1329')","[146934, 187734]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1973 CaptchaValidator: allow case-insensitive matching')","[135784, 176584]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: (qmail 34434 invoked from network); 1 Sep 2010 21:01:34 -0000')",[111184]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '      mvn install:install-file -DgroupId=daisy -DartifactId=daisy-repository-client-impl -Dversion=1.5-dev -Dpackaging=jar -Dfile=/path/to/file')","[55609, 105959, 204859]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            Reporter: Florent ANDRE')",[198034]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-2114 fix sorting in TraversableGenerator')","[133384, 174184]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testLoadTermDictionary(org.apache.mahout.utils.vectors.VectorHelperTest)')","[7966, 7987, 8060, 8071, 8081]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1914')","[22149, 42634, 73284, 92984, 138109, 178909]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1395 [PATCH] Missing ContextAttributeInputModule')","[144384, 185184]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1368 [PATCH] HTTPRequestTransformer')","[145234, 186034]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1960')","[136484, 177284]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testIterableNoTermVectors(org.apache.mahout.utils.vectors.lucene.LuceneIterableTest)')","[1567, 1629, 1640, 1650]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'X-Virus-Checked: Checked by ClamAV on apache.org')","[114734, 128334, 196934]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Testy McTester')","[236932, 238132]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2017')","[135134, 175934]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1125 [PATCH] Updated CastorTransformer + samples')","[27757, 48209, 78859, 98559, 149259, 190059]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'On a fresh co of cocoon trunk give me this errors when mvn install.')","[52434, 102784, 198509]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '  cocoondev (http://cocoondev.org/repository),')","[60084, 110434, 213809]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '>          Components: Blocks: Serializers')",[122884]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '  Then, install it using the command:')","[200534, 201934, 203334, 204734, 206134, 207534, 208934, 210334, 211734]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '  \t2) daisy:daisy-jmsclient-api:jar:1.5-dev')",[209734]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: from thor (localhost [127.0.0.1])')","[113384, 119684, 127084, 154784, 160684, 167784, 195584]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.text.SequenceFilesFromLuceneStorageMRJobTest')",[246831]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1360 [patch] client side validation for CForms')","[25957, 46409, 77059, 96759, 145659, 186459]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '-----------------------------------------')","[31282, 82384, 156309]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testKeepAnalyzer(org.apache.mahout.utils.nlp.collocations.llr.BloomTokenFilterTest)')","[215304, 215438, 215449, 215459]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '  by 140.211.11.9 with SMTP; 1 Sep 2010 21:01:34 -0000')","[8766, 60784, 111409]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testJsonFormatting(org.apache.mahout.utils.vectors.VectorHelperTest)')","[8050, 8153, 8164, 8174]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testCluster1(org.apache.mahout.clustering.TestClusterEvaluator)')","[262583, 264089, 264135, 264145]"
"('ARFFIterator.java', 'org.apache.mahout.utils.vectors.arff.ARFFIterator', 'computeNext', '([\\w[^{]])*', '96')",[7360]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1974 Donating ContextAttributeInputModule')","[135584, 176384]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Patch for the CharsetFactory running on Jboss 5.1.')","[14091, 66109, 122059]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Subject: [jira] Created: (COCOON-2300) jboss-5.1.0.GA vfszip protocol in')","[10116, 62134, 114109]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '> Parsing the vfszip protocol in CharsetFactory solves the problem.')","[14966, 123809]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1807 Workaround for IE Bug in <button>')","[23124, 43609, 74259, 93959, 140059, 180859]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Reply-To: dev@cocoon.apache.org')","[9241, 12391, 16091, 30007, 32957, 36559, 50459, 61259, 64409, 67259, 81109, 84059, 86909, 100809, 112359, 118659, 126059, 153759, 159659, 166759, 194559]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: (qmail 31836 invoked by uid 500); 9 Sep 2010 21:11:58 -0000')",[158984]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1527')","[24474, 44959, 75609, 95309, 142759, 183559]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2249')","[18816, 39334, 69984, 89684, 131509, 172309]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-2216 IncludeCacheManager can not perfom parallel includes')","[19191, 39709, 70359, 90059, 132259, 173059]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '                 Key: COCOON-2302')",[197434]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSingleValueCluster(org.apache.mahout.clustering.cdbw.TestCDbwEvaluator)')","[273957, 274246, 274257, 274267]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Received: (qmail 34078 invoked from network); 15 Sep 2010 14:42:01 -0000')","[35957, 86359, 165659]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'MIME-Version: 1.0')","[10241, 13441, 17041, 31007, 34007, 37509, 51459, 62259, 65459, 68209, 82109, 85109, 87859, 101809, 114359, 120759, 127959, 155759, 161759, 168659, 196559, 230889, 233711]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-2018 Use thread context class loader to load custom binding classes')","[20491, 41009, 71659, 91359, 134859, 175659]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1535 [PATCH] enhancement to {global:} input module: return all sitemap globals')","[24299, 44784, 75434, 95134, 142409, 183209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Delivered-To: mailing list dev@cocoon.apache.org')","[112484, 118784, 126184, 153884, 159784, 166884, 194684]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'From: ""Florent ANDRE (JIRA)"" <jira@apache.org>')","[51234, 101584, 196109]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Douglas Hurbon updated COCOON-2301:')","[34407, 85509, 162559]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Date: Wed, 15 Sep 2010 10:41:34 -0400 (EDT)')",[168234]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1249 [Patch] XMLDBSource should accept scheme://user:pass@host:port/path URIs')","[27132, 47584, 78234, 97934, 148009, 188809]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1395 [PATCH] Missing ContextAttributeInputModule')","[144434, 185234]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Filter: COCOON-open-with-patch (114 issues)')","[17391, 68559, 128659]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testRepresentativePoints(org.apache.mahout.clustering.TestClusterEvaluator)')","[262263, 263988, 263999, 264044]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '[INFO] ------------------------------------------------------------------------')","[199434, 199634]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Received: from thor (localhost [127.0.0.1])')","[9766, 12916, 16616, 30532, 33482, 37084, 50984, 61784, 64934, 67784, 81634, 84584, 87434, 101334, 113409, 119709, 127109, 154809, 160709, 167809, 195609]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1384')","[25582, 46034, 76684, 96384, 144909, 185709]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-719')","[28782, 49234, 79884, 99584, 151309, 192109]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-2281')","[18441, 38959, 69609, 89309, 130759, 171559]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'https://issues.apache.org/jira/secure/FilterSubscription!default.jspa?subId=10311&filterId=12310771')","[29157, 49609, 80259, 99959, 152059, 192859]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-2015')","[20741, 41259, 71909, 91609, 135359, 176159]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', '\tby thor.apache.org (8.13.8+Sun/8.13.8) with ESMTP id o8I0EcCI022463')","[51059, 101409, 195759]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1185 [PATCH] BerkeleyDBStore')","[27557, 48009, 78659, 98359, 148859, 189659]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'In-Reply-To: <32339136.123851283374854483.JavaMail.jira@thor>')","[13391, 65409, 120659]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Issue Subscription')","[128534, 169134]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-2212')","[132484, 173284]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1917 Request Encoding problem: multipart/form vs. url encoded')","[137584, 178384]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-2040 Union widget does not work with booleanfield set as case widget')","[20066, 40584, 71234, 90934, 134009, 174809]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1697')","[23649, 44134, 74784, 94484, 141109, 181909]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1648')","[23774, 44259, 74909, 94609, 141359, 182159]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^message-id: <(.*)>$', 'To: <ant-user@jakarta.apache.org>')","[237262, 238462]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1337')","[26282, 46734, 77384, 97084, 146309, 187109]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '                 URL: https://issues.apache.org/jira/browse/COCOON-2302')",[197534]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Message-ID: <13233245.204441284561694517.JavaMail.jira@thor>')","[37259, 87609, 168159]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1846')","[22774, 43259, 73909, 93609, 139359, 180159]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.cf.taste.impl.similarity.jdbc.MySQLJDBCInMemoryItemSimilarityTest')",[215495]
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^subject: (.*)$', 'Message-Id: <somebody@example.com>')","[237277, 238477]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Douglas Hurbon updated COCOON-2300:')","[13841, 65859, 121559]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1439')","[25207, 45659, 76309, 96009, 144159, 184959]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1717')","[23549, 44034, 74684, 94384, 140909, 181709]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1340')","[26182, 46634, 77284, 96984, 146109, 186909]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'From: ""Florent ANDRE (JIRA)"" <jira@apache.org>')",[196084]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '                 URL: https://issues.apache.org/jira/browse/COCOON-2301')","[31457, 82559, 156659]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'You can reply to this email to add a comment to the issue online.')","[116934, 124334, 157934, 165034, 214634]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Wed, 01 Sep 2010 21:03:14 +0000')",[119584]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Filter: COCOON-open-with-patch (115 issues)')",[169234]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'User-Agent: Microsoft-Outlook-Express-Macintosh-Edition/5.02.2022')","[231939, 234791]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSplitFile(org.apache.mahout.utils.SplitInputTest)')","[215772, 216073, 216084, 216094]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.utils.vectors.csv.CSVVectorIteratorTest')",[1717]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Return-Path: <dev-return-102533-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org>')",[193234]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1332')","[26507, 46959, 77609, 97309, 146759, 187559]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testLabel(org.apache.mahout.utils.email.MailProcessorTest)')","[8382, 8423, 8434, 8444]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^message-id: <(.*)>$', 'Date: Wed, 26 Jul 2000 13:32:08 +0200')","[237172, 238372]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1370 [PATCH] proxy block can now use JTidy and handle multipart POST')","[144984, 185784]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Thu, 09 Sep 2010 21:09:53 +0000')","[30232, 30482, 81334, 81584, 154209, 154709]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1943')","[21674, 42159, 72809, 92509, 137159, 177959]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1360')","[25982, 46434, 77084, 96784, 145709, 186509]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1697 Allow request parameters to be used in ""for (var k in h)"" kind of Javascript Loops')","[140984, 181784]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testGetSegment(org.apache.mahout.text.LuceneSegmentInputSplitTest)')","[216768, 216789, 216820, 216831, 216841]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'test(org.apache.mahout.utils.vectors.lucene.CachedTermInfoTest)')","[218, 239, 249, 260, 270]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'From somebody@example.com  Wed Jul 26 11:32:16 2000')","[231554, 234395]"
"('ARFFIterator.java', 'org.apache.mahout.utils.vectors.arff.ARFFIterator', 'computeNext', '([\\w[^{]])*', 'dont_play')","[6939, 7108]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Thu, 09 Sep 2010 21:11:58 +0000')","[160084, 160584]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-2268 To extend the image reader we need to change the visibility to the parameter of the ImageReader')","[130834, 171634]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '>          Components: Blocks: Cron')","[35107, 163959]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1963')","[21216, 41734, 72384, 92084, 136309, 177109]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.text.SequenceFilesFromLuceneStorageTest')",[235925]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', ""INFO] Unable to find resource 'daisy:daisy-util:jar:1.5-dev' in repository gkossakowski-maven2 (http://people.apache.org/~gkossakowski/maven2/repository)"")",[199334]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2301')","[38034, 88384, 169709]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1960')","[21349, 41834, 72484, 92184, 136509, 177309]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Wed, 01 Sep 2010 21:01:16 +0000')",[113284]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '-')","[116834, 124234, 157834, 164934, 214534]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', '  by 140.211.11.9 with SMTP; 9 Sep 2010 21:09:55 -0000')","[29557, 80659, 152859]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1488 [PATCH] htmlunit-based testing, needs to be ported to 2.2')","[24924, 45409, 76059, 95759, 143659, 184459]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-2173')","[19541, 40059, 70709, 90409, 132959, 173759]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '9 required artifacts are missing.')","[59584, 109934, 212809]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testRunSkipUnstoredFields(org.apache.mahout.text.SequenceFilesFromLuceneStorageTest)')","[236009, 236186, 236197, 236207]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1974 Donating ContextAttributeInputModule')","[20866, 41384, 72034, 91734, 135609, 176409]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Patch to make cocoon_2_1_x/src/blocks/cron/java/org/apache/cocoon/components/cron/QuartzJobScheduler.java respond correctly to configuration for clustering.')","[34632, 85734, 163009]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'From: jira@apache.org')","[127584, 168284]"
