"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_approveForDeliveryTeam(aaron.test.test.ClaimsReceivedByMonitoringOfficerTest)')","[10756, 14104, 25197, 29944, 37281, 52605, 56385, 69062, 79447, 93837, 97401, 109286, 120090, 136348, 140344, 153813, 166045, 183704, 188024, 202681, 215637, 234230, 238766, 296951, 298753]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*\\bpackage\\s+(.*?);.*', 'package aaron.test.test;\n\nimport java.util.List;\nimport java.util.concurrent.atomic.AtomicBoolean;\n\nimport aaron.test.*;\nimport aaron.test.TransitionGuard.Reasons;\nimport aaron.test.StateListeners.RecordingListener;\nimport org.junit.*;\n\nimport com.google.common.base.Predicate;\n\n/**\n * tests for ClaimsStartState\n */\npublic class ClaimsStartStateTest extends AbstractClaimsTest\n{\n    /**\n     * test the state machine can move into the \'ClaimsStartState\' state\n     */\n    @Test\n    public void test_executeToClaimsStartState()\n    {\n        Assert.assertNotNull(moveToClaimsStartState());\n    }\n\n    /**\n     * test the state machine retrieves the correct when given the state name for \'startState\' \n     */\n    @Test\n    public void test_getStateForName()\n    {\n        final ClaimsStateMachine fsm = newStateMachine();\n        final String name =fsm.startState().getName();\n        Assert.assertEquals(fsm.startState(), fsm.getStateForName(name));\n    }\n\n    /**\n     * @return a state machine instance in the startState state\n     */\n    final ClaimsStartState moveToClaimsStartState()\n    {\n        final ClaimsStateMachine fsm = newStateMachine();\n        final ClaimsStartState startState = fsm.startState();\n\n        // call the method under test\n        fsm.executeToState(startState);\n\n        Assert.assertSame(startState, fsm.getCurrentState());\n        Assert.assertEquals(startState.getName(), fsm.getCurrentStateName());\n        \n        return startState;\n    }\n\n    \n    @Test\n    public void test_getPathBetweenClaimsStartStateAndClaimsNotReceived()\n    {\n\n        final ClaimsStartState startState = moveToClaimsStartState();\n        final ClaimsStateMachine fsm = startState.getStateMachine();\n        Assert.assertEquals(""precondition failed: we be in state: \'startState\'"", startState, fsm.getCurrentState());\n\n        final TransitionPaths paths = startState.getPaths(fsm.notReceived());\n        Assert.assertNotNull(paths);\n\n        /**\n         * at first disallow the transition\n         */\n        final AtomicBoolean allowTransition = new AtomicBoolean(false);\n        final Predicate<Transition> logic = new Predicate<Transition>() {\n            @Override\n            public boolean apply(final Transition value)\n            {\n                return allowTransition.get();\n            }\n        };\n        final TransitionListener listener = TransitionListeners.blockOnTrue(logic,Reasons.NO_REASON_GIVEN);\n        startState.registerInitListener(listener);\n\n        // call the method under test\n        final TransitionPath path = paths.getShortestPath();\n        Assert.assertFalse(path.execute().isSuccess());\n\n        Assert.assertEquals(""we should still be in the same state: \'startState\'"", startState, fsm.getCurrentState());\n\n        /**\n         * now allow the transition\n         */\n        allowTransition.set(true);\n        Assert.assertTrue(path.execute().isSuccess());\n        Assert.assertEquals(fsm.notReceived(), fsm.getCurrentState());\n    }\n    \n    /**\n     * test the \'init\' transition \n     */\n    @Test\n    public void test_init()\n    {\n        final ClaimsStartState startState = moveToClaimsStartState();\n        final ClaimsStateMachine fsm = startState.getStateMachine();\n\n        //\n        // add a generate (state-machine wide) and state-specific listener\n        //\n        final RecordingListener generalListener = fsm.registerListener(StateListeners.recordingListener());\n        final RecordingListener stateSpecificListener = StateListeners.recordingListener();\n        startState.registerListener(stateSpecificListener);\n\n        \n        // call the method under test\n        startState.init();\n\n        //\n        // assert the current state is now ClaimsNotReceived\n        //\n        Assert.assertEquals(fsm.notReceived(), fsm.getCurrentState());\n        Assert.assertEquals(fsm.notReceived().getName(), fsm.getCurrentStateName());\n\n        //\n        // assert the general state listener was called\n        //\n        {\n            final List<Transition> enterTransitions = generalListener.getEnterTransitions();\n            Assert.assertEquals(1, enterTransitions.size());\n            Assert.assertEquals(TransitionClaimsInit.NAME, enterTransitions.get(0).getName());\n        }\n\n        //\n        // assert the specific state listener was called\n        //\n        final List<Transition> enterTransitions = stateSpecificListener.getEnterTransitions();\n        Assert.assertEquals(1, enterTransitions.size());\n        Assert.assertEquals(TransitionClaimsInit.NAME, enterTransitions.get(0).getName());\n        \n        // remove listeners\n        Assert.assertTrue(fsm.unregisterListener(generalListener));\n        Assert.assertTrue(startState.unregisterListener(stateSpecificListener));\n    }\n\n    /**\n     * test the \'ClaimsStartState\' can be moved into the ClaimsNotReceived state\n     */\n    @Test\n    public void test_moveToClaimsNotReceived()\n    {\n        final ClaimsStartState startState = moveToClaimsStartState();\n        final ClaimsStateMachine fsm = startState.getStateMachine();\n        startState.getPaths(fsm.notReceived());\n        \n    }\n}\n')",[275030]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_getPathBetweenClaimsReceivedByMonitoringOfficerAndClaimsReceivedByDeliveryTeam(aaron.test.test.ClaimsReceivedByMonitoringOfficerTest)')","[10632, 13980, 25101, 29923, 37161, 52465, 56245, 68950, 79335, 93705, 97269, 109182, 119962, 136200, 140196, 153693, 165905, 183544, 187864, 202549, 215489, 234062, 238598, 296791, 298585]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\benum (\\w+).*', 'package p;\n\nimport java.util.concurrent.atomic.AtomicBoolean;\n\nimport com.google.common.base.Predicate;\n\n/**\n * A PredicateToggle provides a means for toggling a {@link Predicate}\n */\npublic final class PredicateToggle\n{\n    private final AtomicBoolean     enabled;\n    private final Predicate<Object> predicate;\n\n    private PredicateToggle(final boolean firstValue)\n    {\n        this.enabled = new AtomicBoolean(firstValue);\n        this.predicate = new Predicate<Object>() {\n            @Override\n            public boolean apply(final Object value)\n            {\n                return isEnabled();\n            }\n\n            @Override\n            public String toString()\n            {\n                return String.format(""Toggle %b"", Boolean.valueOf(isEnabled()));\n            }\n        };\n    }\n\n    /**\n     * @return a new enabled toggle\n     */\n    public static PredicateToggle on()\n    {\n        return new PredicateToggle(true);\n    }\n\n    /**\n     * @return a new disabled toggle\n     */\n    public static PredicateToggle off()\n    {\n        return new PredicateToggle(false);\n    }\n\n    /**\n     * enable the toggle\n     * \n     * @return true if this method call changed the toggle value\n     */\n    public boolean enable()\n    {\n        return this.enabled.compareAndSet(false, true);\n    }\n\n    /**\n     * disable the toggle\n     * \n     * @return true if this method call changed the toggle value\n     */\n    public boolean disable()\n    {\n        return this.enabled.compareAndSet(true, false);\n    }\n\n    /**\n     * switch the toggle value - going from off to on or from on to off.\n     */\n    public void toggle()\n    {\n        this.enabled.set(!isEnabled());\n    }\n\n    /**\n     * @return true if the toggle is currently enabled\n     */\n    public boolean isEnabled()\n    {\n        return this.enabled.get();\n    }\n\n    /**\n     * @return a transition filter representing the current state of the toggle\n     */\n    @SuppressWarnings(""unchecked"")\n    public <T> Predicate<T> predicate()\n    {\n        return (Predicate<T>) this.predicate;\n    }\n}\n')",[280499]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*\\bpackage\\s+(.*?);.*', 'package aaron.test;\n\n/**\n *\n */\npublic class TransitionClaimsInit extends AbstractTransition<ClaimsStartState, ClaimsNotReceived>\n{\n    /**\n     * the transition name\n     */\n    public final static String NAME = ""init"";\n\n    TransitionClaimsInit(final ClaimsStartState from, final ClaimsNotReceived to) \n    {\n        super(from, to);\n    }\n    \n    /**\n     * @return the name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[268256]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'test_getPathBetweenClaimsReceivedByDeliveryTeamAndClaimsReceivedByMonitoringOfficer(aaron.test.test.ClaimsReceivedByDeliveryTeamTest)')","[15375, 15406, 15437, 17979, 18010, 18041, 26949, 26973, 26997, 39745, 39775, 39805, 57820, 57855, 57890, 60760, 60795, 60830, 71106, 71134, 71162, 81745, 81773, 81801, 98754, 98787, 98820, 101526, 101559, 101592, 111184, 111210, 111236, 122720, 122752, 122784, 141861, 141898, 141935, 144969, 145006, 145043, 156003, 156033, 156063, 168924, 168959, 168994, 189664, 189704, 189744, 193024, 193064, 193104, 205090, 205123, 205156, 218682, 218719, 218756, 240488, 240530, 240572, 244016, 244058, 244100, 303251, 303291, 303331, 304567, 304609, 304651]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\benum (\\w+).*', 'package aaron.test.test;\n\nimport java.util.List;\nimport java.util.concurrent.atomic.AtomicBoolean;\n\nimport aaron.test.*;\nimport aaron.test.TransitionGuard.Reasons;\nimport aaron.test.StateListeners.RecordingListener;\nimport org.junit.*;\n\nimport com.google.common.base.Predicate;\n\n/**\n * tests for ClaimsNotReceived\n */\npublic class ClaimsNotReceivedTest extends AbstractClaimsTest\n{\n    /**\n     * test the state machine can move into the \'ClaimsNotReceived\' state\n     */\n    @Test\n    public void test_executeToClaimsNotReceived()\n    {\n        Assert.assertNotNull(moveToClaimsNotReceived());\n    }\n\n    /**\n     * test the state machine retrieves the correct when given the state name for \'notReceived\' \n     */\n    @Test\n    public void test_getStateForName()\n    {\n        final ClaimsStateMachine fsm = newStateMachine();\n        final String name =fsm.notReceived().getName();\n        Assert.assertEquals(fsm.notReceived(), fsm.getStateForName(name));\n    }\n\n    /**\n     * @return a state machine instance in the notReceived state\n     */\n    final ClaimsNotReceived moveToClaimsNotReceived()\n    {\n        final ClaimsStateMachine fsm = newStateMachine();\n        final ClaimsNotReceived notReceived = fsm.notReceived();\n\n        // call the method under test\n        fsm.executeToState(notReceived);\n\n        Assert.assertSame(notReceived, fsm.getCurrentState());\n        Assert.assertEquals(notReceived.getName(), fsm.getCurrentStateName());\n        \n        return notReceived;\n    }\n\n    \n    @Test\n    public void test_getPathBetweenClaimsNotReceivedAndClaimsReceivedByMonitoringOfficer()\n    {\n\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n        Assert.assertEquals(""precondition failed: we be in state: \'notReceived\'"", notReceived, fsm.getCurrentState());\n\n        final TransitionPaths paths = notReceived.getPaths(fsm.receivedByMonitoringOfficer());\n        Assert.assertNotNull(paths);\n\n        /**\n         * at first disallow the transition\n         */\n        final AtomicBoolean allowTransition = new AtomicBoolean(false);\n        final Predicate<Transition> logic = new Predicate<Transition>() {\n            @Override\n            public boolean apply(final Transition value)\n            {\n                return allowTransition.get();\n            }\n        };\n        final TransitionListener listener = TransitionListeners.blockOnTrue(logic,Reasons.NO_REASON_GIVEN);\n        notReceived.registerSubmitToMonitoringOfficerListener(listener);\n\n        // call the method under test\n        final TransitionPath path = paths.getShortestPath();\n        Assert.assertFalse(path.execute().isSuccess());\n\n        Assert.assertEquals(""we should still be in the same state: \'notReceived\'"", notReceived, fsm.getCurrentState());\n\n        /**\n         * now allow the transition\n         */\n        allowTransition.set(true);\n        Assert.assertTrue(path.execute().isSuccess());\n        Assert.assertEquals(fsm.receivedByMonitoringOfficer(), fsm.getCurrentState());\n    }\n    \n    /**\n     * test the \'submitToMonitoringOfficer\' transition \n     */\n    @Test\n    public void test_submitToMonitoringOfficer()\n    {\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n\n        //\n        // add a generate (state-machine wide) and state-specific listener\n        //\n        final RecordingListener generalListener = fsm.registerListener(StateListeners.recordingListener());\n        final RecordingListener stateSpecificListener = StateListeners.recordingListener();\n        notReceived.registerListener(stateSpecificListener);\n\n        \n        // call the method under test\n        notReceived.submitToMonitoringOfficer();\n\n        //\n        // assert the current state is now ClaimsReceivedByMonitoringOfficer\n        //\n        Assert.assertEquals(fsm.receivedByMonitoringOfficer(), fsm.getCurrentState());\n        Assert.assertEquals(fsm.receivedByMonitoringOfficer().getName(), fsm.getCurrentStateName());\n\n        //\n        // assert the general state listener was called\n        //\n        {\n            final List<Transition> enterTransitions = generalListener.getEnterTransitions();\n            Assert.assertEquals(1, enterTransitions.size());\n            Assert.assertEquals(TransitionClaimsSubmitToMonitoringOfficer.NAME, enterTransitions.get(0).getName());\n        }\n\n        //\n        // assert the specific state listener was called\n        //\n        final List<Transition> enterTransitions = stateSpecificListener.getEnterTransitions();\n        Assert.assertEquals(1, enterTransitions.size());\n        Assert.assertEquals(TransitionClaimsSubmitToMonitoringOfficer.NAME, enterTransitions.get(0).getName());\n        \n        // remove listeners\n        Assert.assertTrue(fsm.unregisterListener(generalListener));\n        Assert.assertTrue(notReceived.unregisterListener(stateSpecificListener));\n    }\n\n    /**\n     * test the \'ClaimsNotReceived\' can be moved into the ClaimsReceivedByMonitoringOfficer state\n     */\n    @Test\n    public void test_moveToClaimsReceivedByMonitoringOfficer()\n    {\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n        notReceived.getPaths(fsm.receivedByMonitoringOfficer());\n        \n    }\n    \n    @Test\n    public void test_getPathBetweenClaimsNotReceivedAndClaimsReceivedByDeliveryTeam()\n    {\n\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n        Assert.assertEquals(""precondition failed: we be in state: \'notReceived\'"", notReceived, fsm.getCurrentState());\n\n        final TransitionPaths paths = notReceived.getPaths(fsm.receivedByDeliveryTeam());\n        Assert.assertNotNull(paths);\n\n        /**\n         * at first disallow the transition\n         */\n        final AtomicBoolean allowTransition = new AtomicBoolean(false);\n        final Predicate<Transition> logic = new Predicate<Transition>() {\n            @Override\n            public boolean apply(final Transition value)\n            {\n                return allowTransition.get();\n            }\n        };\n        final TransitionListener listener = TransitionListeners.blockOnTrue(logic,Reasons.NO_REASON_GIVEN);\n        notReceived.registerSubmitToDeliveryTeamListener(listener);\n\n        // call the method under test\n        final TransitionPath path = paths.getShortestPath();\n        Assert.assertFalse(path.execute().isSuccess());\n\n        Assert.assertEquals(""we should still be in the same state: \'notReceived\'"", notReceived, fsm.getCurrentState());\n\n        /**\n         * now allow the transition\n         */\n        allowTransition.set(true);\n        Assert.assertTrue(path.execute().isSuccess());\n        Assert.assertEquals(fsm.receivedByDeliveryTeam(), fsm.getCurrentState());\n    }\n    \n    /**\n     * test the \'submitToDeliveryTeam\' transition \n     */\n    @Test\n    public void test_submitToDeliveryTeam()\n    {\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n\n        //\n        // add a generate (state-machine wide) and state-specific listener\n        //\n        final RecordingListener generalListener = fsm.registerListener(StateListeners.recordingListener());\n        final RecordingListener stateSpecificListener = StateListeners.recordingListener();\n        notReceived.registerListener(stateSpecificListener);\n\n        \n        // call the method under test\n        notReceived.submitToDeliveryTeam();\n\n        //\n        // assert the current state is now ClaimsReceivedByDeliveryTeam\n        //\n        Assert.assertEquals(fsm.receivedByDeliveryTeam(), fsm.getCurrentState());\n        Assert.assertEquals(fsm.receivedByDeliveryTeam().getName(), fsm.getCurrentStateName());\n\n        //\n        // assert the general state listener was called\n        //\n        {\n            final List<Transition> enterTransitions = generalListener.getEnterTransitions();\n            Assert.assertEquals(1, enterTransitions.size());\n            Assert.assertEquals(TransitionClaimsSubmitToDeliveryTeam.NAME, enterTransitions.get(0).getName());\n        }\n\n        //\n        // assert the specific state listener was called\n        //\n        final List<Transition> enterTransitions = stateSpecificListener.getEnterTransitions();\n        Assert.assertEquals(1, enterTransitions.size());\n        Assert.assertEquals(TransitionClaimsSubmitToDeliveryTeam.NAME, enterTransitions.get(0).getName());\n        \n        // remove listeners\n        Assert.assertTrue(fsm.unregisterListener(generalListener));\n        Assert.assertTrue(notReceived.unregisterListener(stateSpecificListener));\n    }\n\n    /**\n     * test the \'ClaimsNotReceived\' can be moved into the ClaimsReceivedByDeliveryTeam state\n     */\n    @Test\n    public void test_moveToClaimsReceivedByDeliveryTeam()\n    {\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n        notReceived.getPaths(fsm.receivedByDeliveryTeam());\n        \n    }\n    \n    @Test\n    public void test_getPathBetweenClaimsNotReceivedAndClaimsReceivedByHeadOfDelivery()\n    {\n\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n        Assert.assertEquals(""precondition failed: we be in state: \'notReceived\'"", notReceived, fsm.getCurrentState());\n\n        final TransitionPaths paths = notReceived.getPaths(fsm.receivedByHeadOfDelivery());\n        Assert.assertNotNull(paths);\n\n        /**\n         * at first disallow the transition\n         */\n        final AtomicBoolean allowTransition = new AtomicBoolean(false);\n        final Predicate<Transition> logic = new Predicate<Transition>() {\n            @Override\n            public boolean apply(final Transition value)\n            {\n                return allowTransition.get();\n            }\n        };\n        final TransitionListener listener = TransitionListeners.blockOnTrue(logic,Reasons.NO_REASON_GIVEN);\n        notReceived.registerSubmitToHeadOfDeliveryListener(listener);\n\n        // call the method under test\n        final TransitionPath path = paths.getShortestPath();\n        Assert.assertFalse(path.execute().isSuccess());\n\n        Assert.assertEquals(""we should still be in the same state: \'notReceived\'"", notReceived, fsm.getCurrentState());\n\n        /**\n         * now allow the transition\n         */\n        allowTransition.set(true);\n        Assert.assertTrue(path.execute().isSuccess());\n        Assert.assertEquals(fsm.receivedByHeadOfDelivery(), fsm.getCurrentState());\n    }\n    \n    /**\n     * test the \'submitToHeadOfDelivery\' transition \n     */\n    @Test\n    public void test_submitToHeadOfDelivery()\n    {\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n\n        //\n        // add a generate (state-machine wide) and state-specific listener\n        //\n        final RecordingListener generalListener = fsm.registerListener(StateListeners.recordingListener());\n        final RecordingListener stateSpecificListener = StateListeners.recordingListener();\n        notReceived.registerListener(stateSpecificListener);\n\n        \n        // call the method under test\n        notReceived.submitToHeadOfDelivery();\n\n        //\n        // assert the current state is now ClaimsReceivedByHeadOfDelivery\n        //\n        Assert.assertEquals(fsm.receivedByHeadOfDelivery(), fsm.getCurrentState());\n        Assert.assertEquals(fsm.receivedByHeadOfDelivery().getName(), fsm.getCurrentStateName());\n\n        //\n        // assert the general state listener was called\n        //\n        {\n            final List<Transition> enterTransitions = generalListener.getEnterTransitions();\n            Assert.assertEquals(1, enterTransitions.size());\n            Assert.assertEquals(TransitionClaimsSubmitToHeadOfDelivery.NAME, enterTransitions.get(0).getName());\n        }\n\n        //\n        // assert the specific state listener was called\n        //\n        final List<Transition> enterTransitions = stateSpecificListener.getEnterTransitions();\n        Assert.assertEquals(1, enterTransitions.size());\n        Assert.assertEquals(TransitionClaimsSubmitToHeadOfDelivery.NAME, enterTransitions.get(0).getName());\n        \n        // remove listeners\n        Assert.assertTrue(fsm.unregisterListener(generalListener));\n        Assert.assertTrue(notReceived.unregisterListener(stateSpecificListener));\n    }\n\n    /**\n     * test the \'ClaimsNotReceived\' can be moved into the ClaimsReceivedByHeadOfDelivery state\n     */\n    @Test\n    public void test_moveToClaimsReceivedByHeadOfDelivery()\n    {\n        final ClaimsNotReceived notReceived = moveToClaimsNotReceived();\n        final ClaimsStateMachine fsm = notReceived.getStateMachine();\n        notReceived.getPaths(fsm.receivedByHeadOfDelivery());\n        \n    }\n}\n')",[272507]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*\\bpackage\\s+(.*?);.*', 'package aaron.test;\n\nimport java.util.ArrayList;\nimport java.util.Collection;\nimport java.util.List;\n\n\n/**\n *\n */\npublic class ClaimsReceivedByMonitoringOfficer extends AbstractClaimsState \n{\n    /**\n     * the state name\n     */\n    public static final String NAME = ""Received By Monitoring Officer"";\n\n    private TransitionClaimsApproveForDeliveryTeam approveForDeliveryTeam; \n    private TransitionClaimsApproveForHeadOfDelivery approveForHeadOfDelivery; \n    private TransitionClaimsRejectToParticipant rejectToParticipant; \n    \n    /**\n     * @param fsm\n     */\n    ClaimsReceivedByMonitoringOfficer(final ClaimsStateMachine fsm)\n    {\n        super(fsm);\n    }\n\n    @Override\n    Collection<Transition> initialiseTransitions()\n    {\n         final List<Transition> allTransitions = new ArrayList<Transition>();\n\n        // Transition approve for delivery team\n        this.approveForDeliveryTeam = new TransitionClaimsApproveForDeliveryTeam(this, getStateMachine().receivedByDeliveryTeam());\n        allTransitions.add(this.approveForDeliveryTeam); \n\n        // Transition approve for head of delivery\n        this.approveForHeadOfDelivery = new TransitionClaimsApproveForHeadOfDelivery(this, getStateMachine().receivedByHeadOfDelivery());\n        allTransitions.add(this.approveForHeadOfDelivery); \n\n        // Transition reject to participant\n        this.rejectToParticipant = new TransitionClaimsRejectToParticipant(this, getStateMachine().notReceived());\n        allTransitions.add(this.rejectToParticipant); \n\n        return allTransitions;    \n    }\n    \n    /**\n     * execute the approve for delivery team transition\n     * @return true if the transition was successful\n     */\n    public boolean approveForDeliveryTeam() {\n        this.approveForDeliveryTeam.execute();\n        return this.approveForDeliveryTeam.getTarget() == getStateMachine().getCurrentState();\n    }\n\n\n    /**\n     * @param <T>\n     *            the listener type\n     * @param listener\n     *            the transition listener\n     * @return the registered listener\n     */\n    public <T extends TransitionListener> T registerApproveForDeliveryTeamListener(final T listener)\n    {\n        return this.approveForDeliveryTeam.registerListener(listener);\n    }\n\n    /**\n     * @param listener\n     *            the transition listener to unregister\n     * @return true if the listener was unregistered\n     */\n    public boolean unregisterApproveForDeliveryTeamListener(final TransitionListener listener)\n    {\n        return this.approveForDeliveryTeam.unregisterListener(listener);\n    }\n    \n    /**\n     * execute the approve for head of delivery transition\n     * @return true if the transition was successful\n     */\n    public boolean approveForHeadOfDelivery() {\n        this.approveForHeadOfDelivery.execute();\n        return this.approveForHeadOfDelivery.getTarget() == getStateMachine().getCurrentState();\n    }\n\n\n    /**\n     * @param <T>\n     *            the listener type\n     * @param listener\n     *            the transition listener\n     * @return the registered listener\n     */\n    public <T extends TransitionListener> T registerApproveForHeadOfDeliveryListener(final T listener)\n    {\n        return this.approveForHeadOfDelivery.registerListener(listener);\n    }\n\n    /**\n     * @param listener\n     *            the transition listener to unregister\n     * @return true if the listener was unregistered\n     */\n    public boolean unregisterApproveForHeadOfDeliveryListener(final TransitionListener listener)\n    {\n        return this.approveForHeadOfDelivery.unregisterListener(listener);\n    }\n    \n    /**\n     * execute the reject to participant transition\n     * @return true if the transition was successful\n     */\n    public boolean rejectToParticipant() {\n        this.rejectToParticipant.execute();\n        return this.rejectToParticipant.getTarget() == getStateMachine().getCurrentState();\n    }\n\n\n    /**\n     * @param <T>\n     *            the listener type\n     * @param listener\n     *            the transition listener\n     * @return the registered listener\n     */\n    public <T extends TransitionListener> T registerRejectToParticipantListener(final T listener)\n    {\n        return this.rejectToParticipant.registerListener(listener);\n    }\n\n    /**\n     * @param listener\n     *            the transition listener to unregister\n     * @return true if the listener was unregistered\n     */\n    public boolean unregisterRejectToParticipantListener(final TransitionListener listener)\n    {\n        return this.rejectToParticipant.unregisterListener(listener);\n    }\n    \n\n    /**\n     * @return the state name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[268799]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_submitToMonitoringOfficer(aaron.test.test.ClaimsNotReceivedTest)')","[6540, 9144, 23181, 29463, 34487, 47845, 50785, 66710, 76841, 89349, 92121, 107102, 117108, 131316, 134424, 151293, 162781, 178264, 181624, 199909, 212185, 228518, 232046, 290211, 291997]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'test_getStateForName(aaron.test.test.ClaimsPaymentReceivedTest)')","[1880, 1904, 1928, 19219, 19250, 19281, 20583, 20614, 20645, 27909, 27933, 27957, 30632, 41356, 41386, 41416, 41977, 42005, 42033, 62160, 62195, 62230, 63700, 63735, 63770, 72226, 72254, 72282, 83246, 83274, 83302, 83825, 83851, 83877, 102846, 102879, 102912, 104298, 104331, 104364, 112224, 112250, 112276, 124441, 124473, 124505, 125104, 125134, 125164, 146449, 146486, 146523, 148077, 148114, 148151, 157203, 157233, 157263, 170810, 170845, 170880, 171536, 171569, 171602, 194624, 194664, 194704, 196384, 196424, 196464, 206410, 206443, 206476, 220678, 220715, 220752, 221446, 221481, 221516, 245696, 245738, 245780, 247544, 247586, 247628, 307485, 307525, 307565, 308289, 308331, 308373]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_executeToClaimsReadyForPayment(aaron.test.test.ClaimsReadyForPaymentTest)')","[8648, 12368, 24621, 29798, 36424, 50225, 54425, 68390, 78648, 91593, 95553, 108662, 119175, 133832, 138272, 153093, 165043, 180984, 185784, 201889, 214577, 231374, 236414, 294553, 295891]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\benum (\\w+).*', 'package p;\n\n/**\n * if you use google collections, refactor to use that instead \n */\npublic enum StateLog\n{\n    ;// uninstantiable\n\n    public static String error(final String format, final Object... args)\n    {\n        final String log = ""_error:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n\n    public static String info(final String format, final Object... args)\n    {\n        final String log = ""_info:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n\n    public static String debug(final String format, final Object... args)\n    {\n        final String log = ""_debug:"" + String.format(format, args);\n        System.out.println(log);\n        return log;\n    }\n    \n    public static String trace(final String format, final Object... args)\n    {\n        return ""_trace:"" + String.format(format, args);\n    }\n}\n')",[278224]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\n/**\n *\n */\npublic class TransitionClaimsApproveForHeadOfDelivery extends AbstractTransition<ClaimsReceivedByMonitoringOfficer, ClaimsReceivedByHeadOfDelivery>\n{\n    /**\n     * the transition name\n     */\n    public final static String NAME = ""approve for head of delivery"";\n\n    TransitionClaimsApproveForHeadOfDelivery(final ClaimsReceivedByMonitoringOfficer from, final ClaimsReceivedByHeadOfDelivery to) \n    {\n        super(from, to);\n    }\n    \n    /**\n     * @return the name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[269011]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\benum (\\w+).*', 'package aaron.test;\n\nimport java.util.ArrayList;\nimport java.util.Collection;\nimport java.util.List;\n\n\n/**\n *\n */\npublic class ClaimsPaymentComplete extends AbstractClaimsState \n{\n    /**\n     * the state name\n     */\n    public static final String NAME = ""Payment Complete"";\n\n    \n    /**\n     * @param fsm\n     */\n    ClaimsPaymentComplete(final ClaimsStateMachine fsm)\n    {\n        super(fsm);\n    }\n\n    @Override\n    Collection<Transition> initialiseTransitions()\n    {\n         final List<Transition> allTransitions = new ArrayList<Transition>();\n\n        return allTransitions;    \n    }\n    \n\n    /**\n     * @return the state name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[267706]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_removeTransition(com.porpoise.fsm.model.StateTest)')","[3068, 4184, 21933, 29070, 32105, 43925, 45185, 65254, 74623, 85653, 86841, 105750, 114562, 127172, 128504, 149733, 159989, 173784, 175224, 198193, 209229, 223814, 225326, 250890, 251220]"
