"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[21: multipartResolve(Bethel DE US)]')",[1124]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Somalia.')","[23967, 24375, 26641, 27217, 28798, 29350, 52461, 53133, 55428, 56004, 82533, 83397, 100106, 101402, 121801, 122281, 150938, 151706, 152221, 152581, 159902, 160502, 242708, 243116, 245382, 245958, 247539, 248091, 271202, 271874, 274169, 274745, 301274, 302138, 318847, 320143, 340542, 341022, 369679, 370447, 370962, 371322, 378643, 379243]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Muna,')","[59587, 60228, 278328, 278969]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'multiple')","[13642, 13859, 232383, 232600]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Society”.')","[214837, 215605, 433578, 434346]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Somalia')","[20593, 21129, 29676, 30489, 40154, 40547, 56454, 57286, 65151, 65493, 67184, 67577, 69934, 70202, 97410, 97735, 98104, 98416, 98881, 100226, 102377, 103194, 108641, 108941, 109211, 109499, 112472, 113158, 116438, 117008, 117827, 118364, 128968, 129978, 138099, 138755, 141219, 142383, 153683, 154317, 176197, 177689, 184777, 185386, 187324, 188238, 209045, 209758, 218279, 219324, 239334, 239870, 248417, 249230, 258895, 259288, 275195, 276027, 283892, 284234, 285925, 286318, 288675, 288943, 316151, 316476, 316845, 317157, 317622, 318967, 321118, 321935, 327382, 327682, 327952, 328240, 331213, 331899, 335179, 335749, 336568, 337105, 347709, 348719, 356840, 357496, 359960, 361124, 372424, 373058, 394938, 396430, 403518, 404127, 406065, 406979, 427786, 428499, 437020, 438065]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'King,')","[194014, 194945, 412755, 413686]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'behalf')","[174872, 176417, 393613, 395158]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'national')","[202596, 202867, 421337, 421608]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'blaming')","[39277, 39835, 258018, 258576]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'people,')","[119092, 119924, 337833, 338665]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'think')","[189800, 190641, 408541, 409382]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'destroyed')","[179216, 180096, 397957, 398837]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'political')","[60873, 61616, 62956, 63778, 224042, 224702, 279614, 280357, 281697, 282519, 442783, 443443]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Shabaab.')","[194489, 195401, 413230, 414142]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testEquals(com.bericotech.clavin.resolver.ResolvedLocationTest)')","[3775, 7395]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'come')","[192412, 193053, 411153, 411794]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'looms')","[152096, 152461, 370837, 371202]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'today')","[41025, 41392, 120358, 120831, 259766, 260133, 339099, 339572]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Las-anod')","[150713, 151490, 369454, 370231]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Kirwa,')","[102277, 103098, 321018, 321839]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'risk')","[60948, 61688, 94279, 95232, 279689, 280429, 313020, 313973]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'operation')","[147572, 148528, 156286, 156634, 366313, 367269, 375027, 375375]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'plans')","[24550, 25393, 243291, 244134]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[42: multipartResolve([Clipperton Island, France] 4,020,092)]')",[3607]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '13')","[52136, 52821, 79848, 80488, 153383, 154029, 158495, 158941, 270877, 271562, 298589, 299229, 372124, 372770, 377236, 377682]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'horrible')","[72873, 73721, 164491, 165339, 291614, 292462, 383232, 384080]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Birungi,')","[103541, 103838, 322282, 322579]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'US')","[185977, 186687, 193814, 194239, 194753, 195161, 404718, 405428, 412555, 412980, 413494, 413902]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'predictions')","[193589, 194537, 412330, 413278]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Galmudug.')","[149570, 150050, 368311, 368791]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'forces')","[92104, 93019, 128843, 129858, 132193, 133249, 144248, 144933, 147497, 148456, 159552, 160166, 180605, 181050, 182186, 183108, 310845, 311760, 347584, 348599, 350934, 351990, 362989, 363674, 366238, 367197, 378293, 378907, 399346, 399791, 400927, 401849]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'us')","[184702, 185314, 216755, 217385, 403443, 404055, 435496, 436126]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'fight')","[124105, 125158, 132068, 133129, 133901, 134424, 195601, 195993, 342846, 343899, 350809, 351870, 352642, 353165, 414342, 414734]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[30: multipartResolve([London, ON, CAN] 6,058,560)]')",[3079]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'now')","[67234, 67625, 145644, 146158, 285975, 286366, 364385, 364899]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Consultative')","[210791, 212016, 429532, 430757]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'beginning')","[68143, 68579, 286884, 287320]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'working')","[121676, 122161, 340417, 340902]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'years,')","[65026, 65373, 283767, 284114]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'effort')","[29601, 30417, 248342, 249158]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'barbaric')","[92379, 93283, 120758, 121215, 311120, 312024, 339499, 339956]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'mainly')","[135130, 135495, 353871, 354236]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'injured')","[34792, 35275, 58021, 58633, 74689, 75581, 79923, 80560, 86799, 88360, 90964, 91504, 137237, 137552, 157750, 158165, 166307, 167199, 175872, 177377, 253533, 254016, 276762, 277374, 293430, 294322, 298664, 299301, 305540, 307101, 309705, 310245, 355978, 356293, 376491, 376906, 385048, 385940, 394613, 396118]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'plan')","[106247, 106900, 324988, 325641]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Midlands')","[44594, 45182, 263335, 263923]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'small')","[12757, 13130, 74864, 75749, 166482, 167367, 231498, 231871, 293605, 294490, 385223, 386108]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'cafe')","[58171, 58777, 74889, 75773, 166507, 167391, 276912, 277518, 293630, 294514, 385248, 386132]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[7: multipartResolve(Reston Fairfax US)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[531, 5790]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'for')","[16214, 16785, 21734, 21909, 22421, 22589, 23180, 23494, 27643, 28127, 35472, 35867, 39352, 39907, 44719, 45302, 45657, 45952, 46321, 46796, 47189, 47645, 68912, 69355, 78345, 79176, 85497, 85738, 89347, 90134, 97385, 97810, 98080, 98488, 99856, 101162, 106272, 106924, 107257, 107950, 108791, 109355, 116413, 116984, 118942, 119442, 119780, 120260, 121701, 122185, 123805, 124870, 130251, 131092, 157900, 158309, 169963, 170794, 176272, 177761, 180730, 181170, 182211, 183132, 202671, 202939, 210516, 211752, 216430, 217073, 218404, 219444, 234955, 235526, 240475, 240650, 241162, 241330, 241921, 242235, 246384, 246868, 254213, 254608, 258093, 258648, 263460, 264043, 264398, 264693, 265062, 265537, 265930, 266386, 287653, 288096, 297086, 297917, 304238, 304479, 308088, 308875, 316126, 316551, 316821, 317229, 318597, 319903, 325013, 325665, 325998, 326691, 327532, 328096, 335154, 335725, 337683, 338183, 338521, 339001, 340442, 340926, 342546, 343611, 348992, 349833, 376641, 377050, 388704, 389535, 395013, 396502, 399471, 399911, 400952, 401873, 421412, 421680, 429257, 430493, 435171, 435814, 437145, 438185]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'days')","[70685, 71122, 289426, 289863]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'car')","[31130, 31702, 32258, 32831, 33914, 34137, 35622, 36011, 36506, 37016, 58071, 58681, 79748, 80392, 124505, 125542, 139762, 140199, 171542, 172005, 249871, 250443, 250999, 251572, 252655, 252878, 254363, 254752, 255247, 255757, 276812, 277422, 298489, 299133, 343246, 344283, 358503, 358940, 390283, 390746]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'hand-held')","[9443, 10003, 228184, 228744]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[17: multipartResolve(Boston Davao Philippines)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[971, 6010]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'conveyed')","[86374, 87952, 305115, 306693]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'substitute')","[216405, 217049, 435146, 435790]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testNoHeuristics(com.bericotech.clavin.resolver.ClavinLocationResolverHeuristicsTest)')","[4191, 7773]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[7: multipartResolve([Reston, Fairfax County, VA, US] 4,781,530)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[2090, 6560]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Weyne')","[80173, 80800, 298914, 299541]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'endure')","[119192, 120020, 337933, 338761]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[34: multipartResolve(null null null)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[1719, 6384]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Britain’s')","[70460, 70906, 289201, 289647]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'did')","[201433, 202026, 420174, 420767]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'frequented')","[59637, 60276, 130626, 131452, 278378, 279017, 349367, 350193]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'string')","[76728, 77534, 168346, 169152, 295469, 296275, 387087, 387893]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'agencies.')","[18588, 19116, 237329, 237857]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'implemented')","[113619, 114139, 332360, 332880]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'propaganda')","[200721, 200842, 419462, 419583]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Not')","[216280, 216929, 435021, 435670]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[17: multipartResolve([Oxford, England, United Kingdom] 2,640,729)]')",[2507]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'and')","[9243, 9811, 11465, 11875, 12073, 12223, 12467, 12611, 12907, 12957, 13274, 13322, 14058, 15026, 17603, 17966, 18488, 19020, 19291, 19859, 21609, 21859, 22301, 22541, 23105, 23422, 23892, 24303, 24675, 25100, 25513, 25921, 26191, 26785, 30151, 30945, 32733, 33287, 33623, 33840, 36431, 36944, 37235, 37882, 38546, 38694, 44669, 45254, 45707, 46000, 46421, 47285, 57896, 58513, 59737, 60372, 63081, 63898, 65712, 65912, 66059, 66251, 67284, 67673, 68987, 69427, 73048, 73889, 75264, 76133, 76878, 77678, 79898, 80536, 81271, 81585, 81758, 82083, 82653, 82965, 83584, 84079, 85397, 85642, 85974, 86149, 86649, 87199, 87568, 87736, 88216, 88744, 92354, 93259, 97560, 97760, 98248, 98440, 99131, 99806, 100466, 101114, 104616, 104666, 104841, 105371, 105419, 105587, 106097, 106756, 107407, 107457, 108094, 108142, 108741, 109307, 109868, 110134, 110796, 111676, 112222, 112918, 113719, 113969, 114235, 114475, 114785, 114985, 115202, 115394, 115680, 116097, 117852, 118388, 120733, 121191, 121551, 121751, 122041, 122233, 122906, 123531, 126350, 126976, 127436, 127872, 130826, 131644, 131918, 132218, 132393, 132985, 133273, 133441, 134955, 135327, 136215, 136891, 137899, 138563, 140719, 141319, 141903, 142479, 143047, 143433, 144273, 144957, 147297, 148264, 152021, 152389, 156486, 156826, 157185, 157428, 162238, 162678, 164666, 165507, 166882, 167751, 168496, 169296, 172485, 172900, 175547, 177065, 179266, 180144, 180630, 181074, 181811, 181911, 182748, 182844, 185927, 186052, 186639, 186759, 187099, 187874, 188022, 188766, 189275, 190137, 192637, 192687, 193269, 193317, 196710, 197314, 205024, 205340, 207448, 207498, 207673, 208145, 208193, 208361, 209420, 210118, 210466, 211704, 214087, 214787, 214885, 215557, 216680, 217313, 219786, 220355, 224242, 224894, 225090, 225440, 225686, 226022, 226417, 226867, 227233, 227665, 227984, 228552, 230206, 230616, 230814, 230964, 231208, 231352, 231648, 231698, 232015, 232063, 232799, 233767, 236344, 236707, 237229, 237761, 238032, 238600, 240350, 240600, 241042, 241282, 241846, 242163, 242633, 243044, 243416, 243841, 244254, 244662, 244932, 245526, 248892, 249686, 251474, 252028, 252364, 252581, 255172, 255685, 255976, 256623, 257287, 257435, 263410, 263995, 264448, 264741, 265162, 266026, 276637, 277254, 278478, 279113, 281822, 282639, 284453, 284653, 284800, 284992, 286025, 286414, 287728, 288168, 291789, 292630, 294005, 294874, 295619, 296419, 298639, 299277, 300012, 300326, 300499, 300824, 301394, 301706, 302325, 302820, 304138, 304383, 304715, 304890, 305390, 305940, 306309, 306477, 306957, 307485, 311095, 312000, 316301, 316501, 316989, 317181, 317872, 318547, 319207, 319855, 323357, 323407, 323582, 324112, 324160, 324328, 324838, 325497, 326148, 326198, 326835, 326883, 327482, 328048, 328609, 328875, 329537, 330417, 330963, 331659, 332460, 332710, 332976, 333216, 333526, 333726, 333943, 334135, 334421, 334838, 336593, 337129, 339474, 339932, 340292, 340492, 340782, 340974, 341647, 342272, 345091, 345717, 346177, 346613, 349567, 350385, 350659, 350959, 351134, 351726, 352014, 352182, 353696, 354068, 354956, 355632, 356640, 357304, 359460, 360060, 360644, 361220, 361788, 362174, 363014, 363698, 366038, 367005, 370762, 371130, 375227, 375567, 375926, 376169, 380979, 381419, 383407, 384248, 385623, 386492, 387237, 388037, 391226, 391641, 394288, 395806, 398007, 398885, 399371, 399815, 400552, 400652, 401489, 401585, 404668, 404793, 405380, 405500, 405840, 406615, 406763, 407507, 408016, 408878, 411378, 411428, 412010, 412058, 415451, 416055, 423765, 424081, 426189, 426239, 426414, 426886, 426934, 427102, 428161, 428859, 429207, 430445, 432828, 433528, 433626, 434298, 435421, 436054, 438527, 439096, 442983, 443635, 443831, 444181, 444427, 444763, 445158, 445608, 445974, 446406]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[19: multipartResolve(Bethel Delaware United States)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[1059, 6054]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'out.')","[67409, 67793, 286150, 286534]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '(Tarzan),')","[123655, 124726, 342396, 343467]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'removing')","[40279, 40667, 259020, 259408]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'parliament')","[130801, 131620, 172635, 173044, 222555, 223475, 349542, 350361, 391376, 391785, 441296, 442216]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[0: multipartResolve([Springfield, Massachusetts, United States] 4,951,788)]')",[1759]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'areas.')","[106372, 107020, 112822, 113494, 325113, 325761, 331563, 332235]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Chairperson')","[89172, 89966, 307913, 308707]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'claims')","[37410, 38050, 256151, 256791]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'followers,')","[198823, 199116, 417564, 417857]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Gaoussou')","[89447, 90230, 308188, 308971]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'meeting,')","[56079, 56926, 274820, 275667]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'hot')","[136290, 136963, 355031, 355704]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'lesson')","[208820, 209542, 427561, 428283]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'yet')","[118792, 119636, 337533, 338377]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'troops')","[132293, 133345, 151996, 152365, 153333, 153981, 351034, 352086, 370737, 371106, 372074, 372722]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'dead')","[48049, 49045, 49985, 50310, 50883, 51195, 90889, 91432, 134930, 135303, 208048, 208721, 266790, 267786, 268726, 269051, 269624, 269936, 309630, 310173, 353671, 354044, 426789, 427462]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[12: multipartResolve(Worcester England United Kingdom)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[751, 5900]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'explosions')","[76928, 77726, 142847, 143241, 168546, 169344, 295669, 296467, 361588, 361982, 387287, 388085]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'central')","[48749, 49717, 267490, 268458]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Shabaab,')","[71704, 72463, 82358, 83229, 163322, 164081, 191227, 191907, 196335, 196954, 197610, 198202, 290445, 291204, 301099, 301970, 382063, 382822, 409968, 410648, 415076, 415695, 416351, 416943]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'northern')","[150913, 151682, 152146, 152509, 369654, 370423, 370887, 371250]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Mohamed')","[20393, 20937, 73473, 74297, 98956, 100298, 155007, 155814, 165091, 165915, 239134, 239678, 292214, 293038, 317697, 319039, 373748, 374555, 383832, 384656]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'indeed')","[69012, 69451, 287753, 288192]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'diplomatic')","[56629, 57454, 275370, 276195]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'initiatives,')","[224217, 224870, 442958, 443611]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Plan')","[99931, 101234, 106147, 106804, 110571, 111460, 113694, 114211, 318672, 319975, 324888, 325545, 329312, 330201, 332435, 332952]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'when')","[58046, 58657, 78470, 79296, 170088, 170914, 276787, 277398, 297211, 298037, 388829, 389655]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[5: multipartResolve(Reston Virginia United States)]')",[420]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'personal')","[219736, 220307, 438477, 439048]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'its')","[23717, 24135, 61123, 61856, 65126, 65469, 109066, 109619, 117577, 118124, 139122, 139365, 150638, 151418, 162388, 162822, 218429, 219468, 242458, 242876, 279864, 280597, 283867, 284210, 327807, 328360, 336318, 336865, 357863, 358106, 369379, 370159, 381129, 381563, 437170, 438209]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'tweet')","[199473, 199798, 200141, 200453, 418214, 418539, 418882, 419194]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'proposed')","[107482, 108166, 326223, 326907]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '(c)')","[226842, 227641, 445583, 446382]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[18: multipartResolve(Boston Davao Oriental Philippines)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[1015, 6032]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'hacked')","[203085, 203258, 204214, 204583, 421826, 421999, 422955, 423324]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Telecommunications')","[9268, 9835, 228009, 228576]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Garowe')","[210491, 211191, 211728, 212400, 429232, 429932, 430469, 431141]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'fast')","[86874, 88432, 305615, 307173]"
