"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_7_Lucene50_0.doc')",[950225]
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', 'SID::1')","[715204, 715242, 715350, 715382, 877963, 878001, 878109, 878141, 943513, 943551, 943725, 943757, 999219, 999257, 999365, 999397]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\.', 'Q')","[28480, 150711, 286683, 423189, 573185]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\)', 'I')","[44464, 48784, 59824, 61264, 62704, 64624, 66544, 96784, 106384, 117904, 126544, 128464, 131824, 166695, 171015, 182055, 183495, 184935, 186855, 188775, 219015, 228615, 240135, 248775, 250695, 254055, 302667, 306987, 318027, 319467, 320907, 322827, 324747, 354987, 364587, 376107, 384747, 386667, 390027, 439173, 443493, 454533, 455973, 457413, 459333, 461253, 491493, 501093, 512613, 521253, 523173, 526533, 589169, 593489, 604529, 605969, 607409, 609329, 611249, 641489, 651089, 662609, 671249, 673169, 676529]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\)', '[')","[63952, 117232, 132112, 186183, 239463, 254343, 322155, 375435, 390315, 458661, 511941, 526821, 608657, 661937, 676817]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_2.cfe')","[718979, 719917, 738220, 739354, 740339, 740419, 741051, 741412, 741773, 742321, 760215, 762420, 763130, 764317, 764504, 789678, 796413, 815455, 819704, 843073, 844589, 862642, 863580, 881535, 902192, 902676, 905419, 905880, 925264, 925748, 926141, 926496, 927051, 927751, 928025, 928212, 928486, 928673, 946837, 948326, 951130, 1004578, 1005319, 1006029, 1007774, 1008409, 1008683]"
"('PackagingURIHelper.java', 'org.apache.poi.openxml4j.opc.PackagingURIHelper', 'toURI', '\\w+://', '/word/theme/')","[401804, 405017, 538009, 541222, 688005, 691218]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', 'SID::48')","[786794, 786832, 787314, 787346]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'null')",[17]
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_6.cfe')",[949899]
"('MetaDataStateFormat.java', 'org.elasticsearch.gateway.MetaDataStateFormat', 'findMaxStateId', '\\Qstate-\\E(\\d+)(.st)?', 'state-1.st')","[141547, 141867, 141902, 413935, 414345, 414380, 716107, 716142, 716177, 734533, 734568, 734603, 757085, 757495, 757983, 782718, 782753, 783311, 788427, 788462, 788497, 791588, 791623, 791658, 812821, 812856, 812891, 839409, 839819, 839885, 859750, 860160, 860195, 878612, 879022, 879057, 899178, 899588, 899623, 921131, 921166, 921201, 943792, 944202, 944237, 965994, 983646, 983681, 983716, 1001339, 1001374, 1002119]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\.', 's')","[109168, 231399, 367371, 503877, 653873]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_4.nvm')","[763786, 882253, 904888, 947917, 1006685]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\)', 'U')","[31792, 68752, 112432, 154023, 190983, 234663, 289995, 326955, 370635, 426501, 463461, 507141, 576497, 613457, 657137]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_4_Lucene50_0.doc')","[763561, 882028, 904663, 947692, 1006460]"
"('PDFParser.java', 'org.apache.pdfbox.pdfparser.PDFParser', 'skipToNextObj', '\\d+\\s+\\d+\\s+obj.*', '���\n4 0 obj\n<<\n/')","[19897, 142128, 278100, 414606, 564602]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_4_Lucene54_0.dvd')","[763761, 882228, 904863, 947892, 1006660]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_0.fnm')","[14330, 263371, 277619, 549823, 564121, 699819, 714161, 716585, 717330, 717685, 718040, 734734, 735340, 736054, 736310, 736960, 757623, 758111, 759017, 759470, 760376, 782881, 783439, 783892, 784345, 784798, 786059, 787474, 790327, 791758, 792033, 792468, 792998, 793888, 794163, 794598, 811747, 815616, 815840, 816494, 816849, 835861, 836244, 836697, 837150, 837603, 840683, 841038, 841393, 858179, 860993, 861348, 861703, 862058, 877142, 879500, 879775, 880565, 880920, 897353, 897708, 900066, 900421, 901051, 921301, 921656, 922011, 922366, 922783, 942322, 944680, 945035, 945310, 945745, 966094, 966449, 966804, 967159, 967434, 984159, 984514, 984869, 985224, 985579, 1001474, 1001829, 1002219, 1002574, 1003639]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[ivxl]+\\.', 'L')","[52240, 72880, 93520, 110800, 174471, 195111, 215751, 233031, 310443, 331083, 351723, 369003, 446949, 467589, 488229, 505509, 596945, 617585, 638225, 655505]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[IVXL]+\\.', '3')","[23872, 24352, 146103, 146583, 282075, 282555, 418581, 419061, 568577, 569057]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_4_Lucene54_0.dvm')","[763636, 882103, 904738, 947767, 1006535]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_2.cfs')","[718952, 719946, 738186, 739327, 740312, 740392, 741080, 741441, 741802, 742350, 760181, 762393, 763103, 764346, 764533, 789644, 796442, 815421, 819733, 843046, 844618, 862615, 863609, 881508, 902158, 902642, 905448, 905909, 925230, 925714, 926114, 926469, 927024, 927780, 928054, 928241, 928515, 928702, 946803, 948299, 951159, 1004551, 1005292, 1006002, 1007803, 1008438, 1008712]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', '2')","[22144, 22624, 23104, 78304, 144375, 144855, 145335, 200535, 280347, 280827, 281307, 336507, 416853, 417333, 417813, 473013, 566849, 567329, 567809, 623009]"
"('PDFParser.java', 'org.apache.pdfbox.pdfparser.PDFParser', 'skipToNextObj', '\\d+\\s+\\d+\\s+obj.*', '%����\n4 0 obj\n<<')","[19805, 142036, 278008, 414514, 564510]"
"('ContentType.java', 'org.apache.poi.openxml4j.opc.internal.ContentType', '<init>', '^([\\x21-\\x7E&&[^\\(\\)<>@,;:\\\\/""\\[\\]\\?={}\\x20\\x09]]+)/([\\x21-\\x7E&&[^\\(\\)<>@,;:\\\\/""\\[\\]\\?={}\\x20\\x09]]+)$', 'application/vnd.openxmlformats-officedocument.wordprocessingml.fontTable+xml')","[403965, 404010, 540170, 540215, 690166, 690211]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', 'SID::29')","[756084, 756122, 756230, 756262, 964993, 965031, 965139, 965171]"
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?s)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/x-berkeley-db;format=hash')","[15300, 15575, 15685, 15795, 15905, 17733, 18013, 18125, 18237, 18349]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\.', 'p')","[88336, 210567, 346539, 483045, 633041]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 'p')","[88384, 210615, 346587, 483093, 633089]"
"('Settings.java', 'org.elasticsearch.common.settings.Settings$Builder', 'removeNonArraysFieldsIfNewSettingsContainsFieldAsArray', '(.*)\\.\\d+$', 'path.work')","[1226, 1676, 2141, 2650, 5052, 5502, 5967, 6476, 8878, 9328, 9793, 10302, 12605, 12935, 13310, 13666, 14035, 141338, 141742, 264596, 265046, 265511, 266020, 268422, 268872, 269337, 269846, 272248, 272698, 273163, 273672, 275894, 276224, 276599, 276955, 277324, 413816, 414220, 551098, 551548, 552013, 552522, 554924, 555374, 555839, 556348, 558750, 559200, 559665, 560174, 562396, 562726, 563101, 563457, 563826, 701121, 701571, 702036, 702545, 704947, 705397, 705862, 706371, 708773, 709223, 709688, 710197, 712419, 712749, 713124, 713469, 713873, 714928, 715982, 716401, 720467, 720917, 721382, 721891, 724293, 724743, 725208, 725717, 728119, 728569, 729034, 729543, 731765, 732095, 732470, 733111, 733655, 734039, 734408, 742958, 743408, 743873, 744382, 746784, 747234, 747699, 748208, 750610, 751060, 751525, 752034, 754256, 754586, 754961, 755306, 756547, 756966, 757370, 765328, 765778, 766243, 766752, 769154, 769604, 770069, 770578, 772980, 773430, 773895, 774404, 776626, 776956, 777331, 777661, 777991, 778321, 778651, 779027, 779396, 780718, 781026, 781334, 781703, 782078, 782488, 787130, 788302, 788721, 791094, 791463, 798707, 799157, 799622, 800131, 802533, 802983, 803448, 803957, 806359, 806809, 807274, 807783, 810005, 810335, 810710, 811055, 811424, 812327, 812696, 814440, 814809, 820341, 820791, 821256, 821765, 824167, 824617, 825082, 825591, 827993, 828443, 828908, 829417, 831639, 831969, 832344, 832674, 833004, 833410, 834378, 834747, 835197, 835601, 838619, 839694, 840109, 845139, 845589, 846054, 846563, 848965, 849415, 849880, 850389, 852791, 853241, 853706, 854215, 856437, 856767, 857142, 857487, 857856, 859413, 860035, 860419, 864130, 864580, 865045, 865554, 867956, 868406, 868871, 869380, 871782, 872232, 872697, 873206, 875428, 875758, 876133, 876478, 876847, 877839, 878897, 879281, 884279, 884729, 885194, 885703, 888105, 888555, 889020, 889529, 891931, 892381, 892846, 893355, 895577, 895907, 896282, 896627, 896996, 899059, 899463, 899847, 906604, 907054, 907519, 908028, 910430, 910880, 911345, 911854, 914256, 914706, 915171, 915680, 917902, 918232, 918607, 919599, 920218, 920637, 921006, 929310, 929760, 930225, 930734, 933136, 933586, 934051, 934560, 936962, 937412, 937877, 938386, 940608, 940938, 941313, 941658, 942027, 943237, 944077, 944461, 951867, 952317, 952782, 953291, 955693, 956143, 956608, 957117, 959519, 959969, 960434, 960943, 963165, 963495, 963870, 964869, 965491, 965875, 969144, 969594, 970059, 970568, 972970, 973420, 973885, 974394, 976796, 977246, 977711, 978220, 980442, 980772, 981147, 981492, 981861, 982934, 983521, 983940, 987195, 987630, 988079, 988571, 990897, 991332, 991781, 992273, 994599, 995034, 995483, 995975, 998135, 998465, 998840, 999839, 1000426, 1000845, 1001214]"
"('PackagingURIHelper.java', 'org.apache.poi.openxml4j.opc.PackagingURIHelper', 'toURI', '\\w+://', 'numbering.xml')","[406527, 542732, 692728]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[ivxl]+\\.', '2')","[22480, 22960, 23440, 78640, 144711, 145191, 145671, 200871, 280683, 281163, 281643, 336843, 417189, 417669, 418149, 473349, 567185, 567665, 568145, 623345]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_4_Lucene50_0.pos')","[763661, 882128, 904763, 947792, 1006560]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_4.fdt')","[763736, 882203, 904838, 947867, 1006635]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 's')","[109024, 231255, 367227, 503733, 653729]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 'Q')","[28384, 150615, 286587, 423093, 573089]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\.', 's')","[108976, 231207, 367179, 503685, 653681]"
"('PDFParser.java', 'org.apache.pdfbox.pdfparser.PDFParser', 'skipToNextObj', '\\d+\\s+\\d+\\s+obj.*', '\n4 0 obj\n<<\n/Tit')","[20035, 142266, 278238, 414744, 564740]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\.', 'c')","[38560, 130240, 130720, 131200, 160791, 252471, 252951, 253431, 296763, 388443, 388923, 389403, 433269, 524949, 525429, 525909, 583265, 674945, 675425, 675905]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\)', 'F')","[50032, 172263, 308235, 444741, 594737]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\)', 'e')","[137584, 138064, 259815, 260295, 395787, 396267, 532293, 532773, 682289, 682769]"
"('PackagingURIHelper.java', 'org.apache.poi.openxml4j.opc.PackagingURIHelper', 'toURI', '\\w+://', 'http://invalid.uri')","[405864, 405966, 406068, 406170, 406272, 406374, 406476, 406578, 406680, 406782, 406884, 406986, 407088, 407190, 410960, 411054, 411148, 542069, 542171, 542273, 542375, 542477, 542579, 542681, 542783, 542885, 542987, 543089, 543191, 543293, 543395, 547165, 547259, 547353, 692065, 692167, 692269, 692371, 692473, 692575, 692677, 692779, 692881, 692983, 693085, 693187, 693289, 693391, 697161, 697255, 697349]"
"('PackagePartName.java', 'org.apache.poi.openxml4j.opc.PackagePartName', 'isRelationshipPartURI', '^.*/_rels/.*\\.rels$', '/word/_rels/footer1.xml.rels')","[404916, 404972, 541121, 541177, 691117, 691173]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\.', 'C')","[27520, 28960, 43840, 44800, 47200, 48160, 49120, 54400, 58240, 61600, 70240, 73600, 74560, 81760, 82720, 83680, 93760, 94240, 96160, 103360, 108640, 115840, 118720, 124480, 134080, 139840, 149751, 151191, 166071, 167031, 169431, 170391, 171351, 176631, 180471, 183831, 192471, 195831, 196791, 203991, 204951, 205911, 215991, 216471, 218391, 225591, 230871, 238071, 240951, 246711, 256311, 262071, 285723, 287163, 302043, 303003, 305403, 306363, 307323, 312603, 316443, 319803, 328443, 331803, 332763, 339963, 340923, 341883, 351963, 352443, 354363, 361563, 366843, 374043, 376923, 382683, 392283, 398043, 422229, 423669, 438549, 439509, 441909, 442869, 443829, 449109, 452949, 456309, 464949, 468309, 469269, 476469, 477429, 478389, 488469, 488949, 490869, 498069, 503349, 510549, 513429, 519189, 528789, 534549, 572225, 573665, 588545, 589505, 591905, 592865, 593825, 599105, 602945, 606305, 614945, 618305, 619265, 626465, 627425, 628385, 638465, 638945, 640865, 648065, 653345, 660545, 663425, 669185, 678785, 684545]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\.', 'O')","[136528, 258759, 394731, 531237, 681233]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\)', 'H')","[30544, 31504, 32464, 32944, 33904, 34864, 35824, 37264, 37744, 39184, 49744, 50704, 57424, 59344, 60304, 62224, 63664, 65584, 72304, 73264, 75664, 77104, 77584, 79024, 79504, 88144, 92464, 94864, 95344, 99184, 102064, 104464, 105424, 111184, 115504, 119344, 119824, 121264, 122704, 133264, 133744, 140464, 140944, 152775, 153735, 154695, 155175, 156135, 157095, 158055, 159495, 159975, 161415, 171975, 172935, 179655, 181575, 182535, 184455, 185895, 187815, 194535, 195495, 197895, 199335, 199815, 201255, 201735, 210375, 214695, 217095, 217575, 221415, 224295, 226695, 227655, 233415, 237735, 241575, 242055, 243495, 244935, 255495, 255975, 262695, 263175, 288747, 289707, 290667, 291147, 292107, 293067, 294027, 295467, 295947, 297387, 307947, 308907, 315627, 317547, 318507, 320427, 321867, 323787, 330507, 331467, 333867, 335307, 335787, 337227, 337707, 346347, 350667, 353067, 353547, 357387, 360267, 362667, 363627, 369387, 373707, 377547, 378027, 379467, 380907, 391467, 391947, 398667, 399147, 425253, 426213, 427173, 427653, 428613, 429573, 430533, 431973, 432453, 433893, 444453, 445413, 452133, 454053, 455013, 456933, 458373, 460293, 467013, 467973, 470373, 471813, 472293, 473733, 474213, 482853, 487173, 489573, 490053, 493893, 496773, 499173, 500133, 505893, 510213, 514053, 514533, 515973, 517413, 527973, 528453, 535173, 535653, 575249, 576209, 577169, 577649, 578609, 579569, 580529, 581969, 582449, 583889, 594449, 595409, 602129, 604049, 605009, 606929, 608369, 610289, 617009, 617969, 620369, 621809, 622289, 623729, 624209, 632849, 637169, 639569, 640049, 643889, 646769, 649169, 650129, 655889, 660209, 664049, 664529, 665969, 667409, 677969, 678449, 685169, 685649]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 'W')","[41824, 42304, 46144, 57664, 82144, 85984, 164055, 164535, 168375, 179895, 204375, 208215, 300027, 300507, 304347, 315867, 340347, 344187, 436533, 437013, 440853, 452373, 476853, 480693, 586529, 587009, 590849, 602369, 626849, 630689]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', 'A')","[25984, 29824, 34144, 39904, 71584, 99904, 111904, 120064, 123904, 134464, 148215, 152055, 156375, 162135, 193815, 222135, 234135, 242295, 246135, 256695, 284187, 288027, 292347, 298107, 329787, 358107, 370107, 378267, 382107, 392667, 420693, 424533, 428853, 434613, 466293, 494613, 506613, 514773, 518613, 529173, 570689, 574529, 578849, 584609, 616289, 644609, 656609, 664769, 668609, 679169]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_7_Lucene50_0.tim')",[950350]
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\.', '3')","[23680, 24160, 145911, 146391, 281883, 282363, 418389, 418869, 568385, 568865]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', 'SID::24')","[858793, 858831, 858939, 858971]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\.', 'R')","[106528, 107968, 228759, 230199, 364731, 366171, 501237, 502677, 651233, 652673]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\)', ' ')","[55024, 55504, 56464, 67024, 67504, 70864, 71344, 74224, 86704, 87184, 87664, 89104, 89584, 90064, 90544, 91024, 100624, 107344, 116944, 123184, 139504, 177255, 177735, 178695, 189255, 189735, 193095, 193575, 196455, 208935, 209415, 209895, 211335, 211815, 212295, 212775, 213255, 222855, 229575, 239175, 245415, 261735, 313227, 313707, 314667, 325227, 325707, 329067, 329547, 332427, 344907, 345387, 345867, 347307, 347787, 348267, 348747, 349227, 358827, 365547, 375147, 381387, 397707, 449733, 450213, 451173, 461733, 462213, 465573, 466053, 468933, 481413, 481893, 482373, 483813, 484293, 484773, 485253, 485733, 495333, 502053, 511653, 517893, 534213, 599729, 600209, 601169, 611729, 612209, 615569, 616049, 618929, 631409, 631889, 632369, 633809, 634289, 634769, 635249, 635729, 645329, 652049, 661649, 667889, 684209]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515824984624')",[735020]
"('Settings.java', 'org.elasticsearch.common.settings.Settings$Builder', 'removeNonArraysFieldsIfNewSettingsContainsFieldAsArray', '(.*)\\.\\d+$', 'node.master')","[1076, 1526, 1996, 2500, 4902, 5352, 5822, 6326, 8728, 9178, 9648, 10152, 12530, 12860, 13235, 13596, 13960, 141268, 141667, 264446, 264896, 265366, 265870, 268272, 268722, 269192, 269696, 272098, 272548, 273018, 273522, 275819, 276149, 276524, 276885, 277249, 413746, 414145, 550948, 551398, 551868, 552372, 554774, 555224, 555694, 556198, 558600, 559050, 559520, 560024, 562321, 562651, 563026, 563387, 563751, 700971, 701421, 701891, 702395, 704797, 705247, 705717, 706221, 708623, 709073, 709543, 710047, 712344, 712674, 713049, 713399, 713798, 714858, 715907, 716331, 720317, 720767, 721237, 721741, 724143, 724593, 725063, 725567, 727969, 728419, 728889, 729393, 731690, 732020, 732395, 733003, 733580, 733969, 734333, 742808, 743258, 743728, 744232, 746634, 747084, 747554, 748058, 750460, 750910, 751380, 751884, 754181, 754511, 754886, 755236, 756472, 756896, 757295, 765178, 765628, 766098, 766602, 769004, 769454, 769924, 770428, 772830, 773280, 773750, 774254, 776551, 776881, 777256, 777586, 777916, 778246, 778576, 778957, 779321, 780648, 780956, 781264, 781628, 782003, 782413, 787060, 788227, 788651, 791024, 791388, 798557, 799007, 799477, 799981, 802383, 802833, 803303, 803807, 806209, 806659, 807129, 807633, 809930, 810260, 810635, 810985, 811349, 812257, 812621, 814370, 814734, 820191, 820641, 821111, 821615, 824017, 824467, 824937, 825441, 827843, 828293, 828763, 829267, 831564, 831894, 832269, 832599, 832929, 833335, 834308, 834672, 835127, 835526, 838549, 839619, 840039, 844989, 845439, 845909, 846413, 848815, 849265, 849735, 850239, 852641, 853091, 853561, 854065, 856362, 856692, 857067, 857417, 857781, 859343, 859960, 860349, 863980, 864430, 864900, 865404, 867806, 868256, 868726, 869230, 871632, 872082, 872552, 873056, 875353, 875683, 876058, 876408, 876772, 877769, 878822, 879211, 884129, 884579, 885049, 885553, 887955, 888405, 888875, 889379, 891781, 892231, 892701, 893205, 895502, 895832, 896207, 896557, 896921, 898989, 899388, 899777, 906454, 906904, 907374, 907878, 910280, 910730, 911200, 911704, 914106, 914556, 915026, 915530, 917827, 918157, 918532, 919529, 920143, 920567, 920931, 929160, 929610, 930080, 930584, 932986, 933436, 933906, 934410, 936812, 937262, 937732, 938236, 940533, 940863, 941238, 941588, 941952, 943167, 944002, 944391, 951717, 952167, 952637, 953141, 955543, 955993, 956463, 956967, 959369, 959819, 960289, 960793, 963090, 963420, 963795, 964799, 965416, 965805, 968994, 969444, 969914, 970418, 972820, 973270, 973740, 974244, 976646, 977096, 977566, 978070, 980367, 980697, 981072, 981422, 981786, 982864, 983446, 983870, 987050, 987485, 987939, 988426, 990752, 991187, 991641, 992128, 994454, 994889, 995343, 995830, 998060, 998390, 998765, 999769, 1000351, 1000775, 1001139]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\.', 'M')","[51568, 60688, 173799, 182919, 309771, 318891, 446277, 455397, 596273, 605393]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[ivxl]+\\.', 'N')","[101680, 113200, 113680, 120880, 223911, 235431, 235911, 243111, 359883, 371403, 371883, 379083, 496389, 507909, 508389, 515589, 646385, 657905, 658385, 665585]"
"('MediaType.java', 'org.apache.tika.mime.MediaType', 'parse', '(?s)\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*/\\s*([^\\c\\(\\)<>@,;:\\\\""/\\[\\]\\?=\\s]+)\\s*($|;.*)', 'application/x-tika-msoffice-embedded;format=ole10_native')","[16950, 19413]"
"('PackagePartName.java', 'org.apache.poi.openxml4j.opc.PackagePartName', 'isRelationshipPartURI', '^.*/_rels/.*\\.rels$', '/word/_rels/fontTable.xml.rels')","[404120, 404176, 540325, 540381, 690321, 690377]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_7.cfs')","[950452, 951346]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[IVXL]+\\.', 'T')","[28192, 31072, 39712, 41152, 41632, 45472, 46912, 47872, 52672, 54112, 69952, 75232, 76672, 80032, 83392, 92032, 98752, 102592, 103072, 110272, 114592, 118432, 123712, 127072, 127552, 128032, 128992, 129472, 129952, 132832, 138592, 150423, 153303, 161943, 163383, 163863, 167703, 169143, 170103, 174903, 176343, 192183, 197463, 198903, 202263, 205623, 214263, 220983, 224823, 225303, 232503, 236823, 240663, 245943, 249303, 249783, 250263, 251223, 251703, 252183, 255063, 260823, 286395, 289275, 297915, 299355, 299835, 303675, 305115, 306075, 310875, 312315, 328155, 333435, 334875, 338235, 341595, 350235, 356955, 360795, 361275, 368475, 372795, 376635, 381915, 385275, 385755, 386235, 387195, 387675, 388155, 391035, 396795, 422901, 425781, 434421, 435861, 436341, 440181, 441621, 442581, 447381, 448821, 464661, 469941, 471381, 474741, 478101, 486741, 493461, 497301, 497781, 504981, 509301, 513141, 518421, 521781, 522261, 522741, 523701, 524181, 524661, 527541, 533301, 572897, 575777, 584417, 585857, 586337, 590177, 591617, 592577, 597377, 598817, 614657, 619937, 621377, 624737, 628097, 636737, 643457, 647297, 647777, 654977, 659297, 663137, 668417, 671777, 672257, 672737, 673697, 674177, 674657, 677537, 683297]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\.', '[')","[64048, 117328, 132208, 186279, 239559, 254439, 322251, 375531, 390411, 458757, 512037, 526917, 608753, 662033, 676913]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\.', 'K')","[95680, 217911, 353883, 490389, 640385]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testAttachments(de.saly.elasticsearch.imap.AttachmentMapperTest)')","[57, 434, 806]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\.', 'A')","[25936, 29776, 34096, 39856, 71536, 99856, 111856, 120016, 123856, 134416, 148167, 152007, 156327, 162087, 193767, 222087, 234087, 242247, 246087, 256647, 284139, 287979, 292299, 298059, 329739, 358059, 370059, 378219, 382059, 392619, 420645, 424485, 428805, 434565, 466245, 494565, 506565, 514725, 518565, 529125, 570641, 574481, 578801, 584561, 616241, 644561, 656561, 664721, 668561, 679121]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\[\\d+\\]', '1')","[20224, 20704, 21184, 21664, 142455, 142935, 143415, 143895, 278427, 278907, 279387, 279867, 414933, 415413, 415893, 416373, 564929, 565409, 565889, 566369]"
"('PackagingURIHelper.java', 'org.apache.poi.openxml4j.opc.PackagingURIHelper', 'toURI', '\\w+://', '/docProps/core.xml')","[403307, 409906, 539512, 546111, 689508, 696107]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_7.cfe')","[950479, 951317]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\.', 'O')","[136336, 258567, 394539, 531045, 681041]"
