"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '\tby thor.apache.org (8.13.8+Sun/8.13.8) with ESMTP id o8FEfYjF006141')",[160959]
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_2_Lucene41_0.tip')","[221287, 224543, 228891, 246832, 249720, 257515]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '>          Issue Type: Improvement')",[156809]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-2288 Allow usage of SLF4J for traces')","[11390, 31790, 62440, 82140, 123440, 164284]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-996')","[21015, 41415, 72065, 91765, 142734, 183971]"
"('ARFFIterator.java', 'org.apache.mahout.utils.vectors.arff.ARFFIterator', 'computeNext', '([\\w[^{]])*', '""no-quote""')",[208682]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1398')","[137309, 178443]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Filter: COCOON-open-with-patch (115 issues)')","[30765, 81115, 162234]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Received: (qmail 26771 invoked by uid 500); 1 Sep 2010 21:01:33 -0000')","[2015, 53915, 104690]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Hi,')","[45315, 95665, 191916]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^subject: (.*)$', '')","[265741, 265861, 266341, 266941, 267061, 267541]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1340')","[139109, 180243]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Date: Wed, 15 Sep 2010 10:41:34 -0400 (EDT)')","[30265, 80615, 161234]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1932')","[14840, 35240, 65890, 85590, 130384, 171220]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '----------')","[193641, 206341]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '      mvn install:install-file -DgroupId=daisy -DartifactId=daisy-util -Dversion=1.5-dev -Dpackaging=jar -Dfile=/path/to/file')",[205391]
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^subject: (.*)$', '  charset=""Windows-1252""')","[265624, 266851]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_2.fnm')","[221355, 224613, 228959, 246900, 249786, 257581]"
"('ARFFIterator.java', 'org.apache.mahout.utils.vectors.arff.ARFFIterator', 'computeNext', '([\\w[^{]])*', '3.0')","[208405, 208653]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1794 [PATCH] Propagation of namespaces to a repeaters child bindings and implementation of a move-node binding')","[16265, 36665, 67315, 87015, 133234, 174148]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '  maven-snapshot (http://snapshots.maven.codehaus.org/maven2/),')",[207291]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: (qmail 28904 invoked by uid 99); 1 Sep 2010 21:03:15 -0000')",[111865]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1362')","[138509, 179643]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '          Components: - Build System: Maven')",[191441]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1508 [PATCH] Avalonize TranscoderFactory')","[17765, 38165, 68815, 88515, 136234, 177368]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Message-ID: <27933486.264201284768878915.JavaMail.jira@thor>')",[189491]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '  \t2) daisy:daisy-jmsclient-api:jar:1.5-dev')",[203341]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Precedence: bulk')","[2115, 5265, 8965, 22815, 25765, 29315, 43215, 54015, 57165, 60015, 73865, 76815, 79665, 93565, 104890, 111190, 118590, 146334, 152234, 159334, 187716]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '    Affects Versions: 2.2-dev (Current SVN)')","[45115, 95465, 191516]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '  \t2) nekodtd:nekodtd:jar:0.1.11')","[47540, 97890, 196366]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Thu, 09 Sep 2010 21:11:58 +0000')","[153109, 153609]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '  central (http://repo1.maven.org/maven2),')","[52990, 103340, 207266]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_1.fdx')","[213670, 220071, 223290, 227675, 232496, 236333, 241835, 242529, 242931, 245324, 247041, 250823, 251521, 251912, 254717, 255541, 261893, 267709]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1336 [PATCH] PortletWindowAspect: hiding portlet mode icons and new feature ""force-sizable""')","[139409, 180543]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '  \t2) daisy:daisy-util:jar:1.5-dev')",[206091]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '    Affects Versions: 2.1.11')","[4040, 24690, 55940, 75740, 108740, 150084]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1717 Use custom cache keys for caching uri coplets using input modules.')","[16590, 36990, 67640, 87340, 133884, 174829]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_1_Lucene41_0.doc')","[213778, 220173, 223395, 227777, 232595, 236432, 241931, 242628, 243030, 245423, 247140, 250922, 251617, 252011, 254813, 255640, 261992, 267808]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1368')","[138309, 179443]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1618')","[16940, 37340, 67990, 87690, 134584, 175718]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '\tby thor.apache.org (8.13.8+Sun/8.13.8) with ESMTP id o89LBcLv025458')",[153809]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Message-ID: <7103927.76251283956837977.JavaMail.jira@thor>')","[9890, 60940, 120440]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Testy McTester')","[273387, 276224]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Delivered-To: apmail-cocoon-dev-archive@www.apache.org')","[104065, 110365, 117765, 145509, 151409, 158509, 186891]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2173')","[12615, 33015, 63665, 83365, 125934, 166770]"
"('GlobFilter.java', 'org.apache.hadoop.fs.GlobFilter', 'accept', 'clusters-4', 'clusters-4')","[234868, 241500]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1185 [PATCH] BerkeleyDBStore')","[141809, 183046]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1337 [PATCH] Suggestion for widget population')","[19265, 39665, 70315, 90015, 139234, 180368]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1394')","[18540, 38940, 69590, 89290, 137784, 178918]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1915 Nullable value with additional String or XMLizable in JavaSelectionList')","[15090, 35490, 66140, 85840, 130884, 171798]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '                 URL: https://issues.apache.org/jira/browse/COCOON-2301')",[149609]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Date: Thu, 9 Sep 2010 17:11:38 -0400 (EDT)')","[26715, 77765, 154134]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1147 [PATCH] namespace issues with XMLDBTransformer')","[142009, 183246]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Received: (qmail 17581 invoked by uid 500); 18 Sep 2010 00:15:19 -0000')","[43115, 93465, 187516]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-825')","[21740, 42140, 72790, 92490, 144184, 185566]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testIncrement(org.apache.mahout.utils.Bump125Test)')","[327, 348, 358, 369, 379]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Received: (qmail 94093 invoked from network); 9 Sep 2010 21:12:00 -0000')",[151559]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testAlmostSameValueCluster(org.apache.mahout.clustering.cdbw.TestCDbwEvaluator)')","[216505, 217037, 217048, 217058]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1332 [PATCH] content-length and content-type for portlet ActionRequest')","[139659, 180793]"
"('ARFFIterator.java', 'org.apache.mahout.utils.vectors.arff.ARFFIterator', 'computeNext', '([\\w[^{]])*', 'c')",[209956]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1254 [Patch] OWQLTransformer + RDQLTransformer')","[20090, 40490, 71140, 90840, 140884, 182070]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1603 [PATCH] handling of alternatives in MailTransformer')","[17065, 37465, 68115, 87815, 134834, 175968]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-2222 Add SaxParser configuration properties')","[12190, 32590, 63240, 82940, 125084, 165884]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '>                 Key: COCOON-2300')",[115515]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1932 [PATCH] correct styling of disabled suggestion lists')","[130259, 171095]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Received: (qmail 34824 invoked from network); 1 Sep 2010 21:03:16 -0000')",[110515]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '      mvn install:install-file -DgroupId=nekodtd -DartifactId=nekodtd -Dversion=0.1.11 -Dpackaging=jar -Dfile=/path/to/file')","[47190, 97540, 195666]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Wed, 15 Sep 2010 14:41:54 +0000')",[160709]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Douglas Hurbon updated COCOON-2301:')","[27415, 78465, 155534]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-2114')","[126509, 167345]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '\tby thor.apache.org (8.13.8+Sun/8.13.8) with ESMTP id o89LBcLv025458')","[26565, 77615, 153834]"
"('LuceneIndexFileNameFilter.java', 'org.apache.mahout.text.LuceneIndexFileNameFilter', 'accept', '_[a-z0-9]+(_.*)?\\..*', '_2.cfs')","[222099, 225573, 229499, 230179, 230859, 259883, 262523, 263375, 263815, 269246, 269696, 270136, 270586, 271234, 271872]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '>          Issue Type: Bug')","[7590, 115840]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSplitFileRandomSelectionSize(org.apache.mahout.utils.SplitInputTest)')","[1008, 1259, 1270, 1280]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Date: Wed, 15 Sep 2010 10:41:34 -0400 (EDT)')","[30290, 80640, 161284]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1573 Improvement SetAttributeJXPathBinding and Contribution SetNodeValueJXPathBinding')","[135009, 176143]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Content-Type: text/plain; charset=utf-8')","[107415, 113815, 121015, 148859, 154859, 161759, 190241]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Return-Path: <dev-return-102527-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org>')","[1690, 53590, 104040]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '      mvn deploy:deploy-file -DgroupId=daisy -DartifactId=daisy-repository-common-impl -Dversion=1.5-dev -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id]')","[49440, 99790, 200166]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Message-ID: <7103927.76251283956837977.JavaMail.jira@thor>')","[9865, 60915, 120390]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1508 [PATCH] Avalonize TranscoderFactory')","[17790, 38190, 68840, 88540, 136284, 177418]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Mailing-List: contact ant-user-help@jakarta.apache.org; run by ezmlm')","[272302, 273702, 275108, 276548]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '\tfor <dev@cocoon.apache.org>; Thu, 9 Sep 2010 21:09:33 GMT')",[148059]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'org.apache.cocoon:cocoon-sitemaptags2daisy-plugin:maven-plugin:1.0.0-SNAPSHOT')",[206841]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'X-JIRA-FingerPrint: 30527f35849b9dde25b450d4833f0394')","[3465, 6665, 10265, 24165, 27165, 30615, 44565, 55365, 58565, 61315, 75215, 78215, 80965, 94915, 107590, 113990, 121190, 149034, 155034, 161934, 190416]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-996')","[21040, 41440, 72090, 91790, 142784, 184021]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-2260')","[124309, 165109]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2222')","[12215, 32615, 63265, 82965, 125134, 165934]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '      mvn deploy:deploy-file -DgroupId=daisy -DartifactId=daisy-repository-common-impl -Dversion=1.5-dev -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id]')",[200141]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '  \t2) daisy:daisy-repository-common-impl:jar:1.5-dev')","[49615, 99965, 200516]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'From: ""Douglas Hurbon (JIRA)"" <jira@apache.org>')","[106915, 113215, 148359, 154259]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '[ERROR] BUILD ERROR')","[45915, 96265, 193116]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '9 required artifacts are missing.')","[52590, 102940, 206466]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1398')","[18340, 38740, 69390, 89090, 137384, 178518]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Wed, 01 Sep 2010 21:01:33 +0000')",[105765]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-2173 AbstractCachingProcessingPipeline: Two requests can deadlock each other')","[125809, 166645]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '  \t2) nekodtd:nekodtd:jar:0.1.11')","[47515, 97865, 196316]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSplitInputMapReduceVector(org.apache.mahout.utils.SplitInputTest)')","[1176, 1507, 1518, 1528]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1842')","[16040, 36440, 67090, 86790, 132784, 173698]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '  \t2) daisy:daisy-jmsclient-api:jar:1.5-dev')",[203291]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Received: from unknown (HELO mail.apache.org) (140.211.11.3)')","[104315, 110615, 118015, 145759, 151659, 158759, 187141]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '4) daisy:daisy-repository-client-impl:jar:1.5-dev')","[48340, 98690, 197966]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Filter: COCOON-open-with-patch (115 issues)')","[30790, 81140, 162284]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-2297 Character encoding does not follow JTidy properties')","[122365, 163209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'X-Spam-Check-By: apache.org')","[106065, 112365, 119765, 147509, 153409, 160509, 188891]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSequential(org.apache.mahout.text.SequenceFilesFromMailArchivesTest)')","[255477, 255749, 255760, 255770]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Hi,')",[191891]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1898 [PATCH] XPatch support for maven-cocoon-deployer-plugin')","[131459, 172373]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: (qmail 26771 invoked by uid 500); 1 Sep 2010 21:01:33 -0000')",[104665]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-2017')","[128109, 168945]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1810 [PATCH] JMSEventMessageListener does not work')","[132809, 173723]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-1648 Add support for ISO8601 in I18nTransformer and Forms')","[16790, 37190, 67840, 87540, 134284, 175418]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '  \t2) daisy:daisy-util:jar:1.5-dev')","[52415, 102765, 206116]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testKmeans(org.apache.mahout.clustering.cdbw.TestCDbwEvaluator)')","[216442, 216463, 216975, 216986, 216996]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testCluster1(org.apache.mahout.clustering.TestClusterEvaluator)')","[217527, 217746, 217757, 217767]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', ""COCOON-1384 [PATCH] flow redirector should allow explicit 'cocoon:' scheme"")","[137809, 178943]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.utils.SplitInputTest')",[790]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-1360 [patch] client side validation for CForms')","[138659, 179793]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-881')","[21240, 41640, 72290, 91990, 143184, 184566]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1618 [PATCH] SoapGenerator/Serializer for Axis Block')","[16865, 37265, 67915, 87615, 134434, 175568]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Cocoon fails to initialize on Jboss 5.1 due to the new vfszip protocol it uses for class loading.  CharsetFactory expects either jar:/ or file:/')","[4290, 56190, 109240]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '    Attachment: QuartzJobScheduler.patch')",[155859]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1917 Request Encoding problem: multipart/form vs. url encoded')","[130609, 171445]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'COCOON-2281 ""Communication tools that we use"" link to dev mailing list archive comes out at user mailing list archive')","[11490, 31890, 62540, 82240, 123640, 164484]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '  Then, install it using the command:')","[46440, 47140, 47840, 48540, 49240, 49940, 50640, 51340, 52040, 96790, 97490, 98190, 98890, 99590, 100290, 100990, 101690, 102390, 194166, 195566, 196966, 198366, 199766, 201166, 202566, 203966, 205366]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2281')","[11515, 31915, 62565, 82265, 123690, 164534]"
