"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.cc.lmsfc.common.test.RedisTest')","[284, 1649213]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'PageAdapter.class')","[139739, 468596, 797427, 1126258, 1455089]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultSetOperations$12.class')","[192227, 521084, 849915, 1178746, 1507577]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'PropertyHandler.class')","[107663, 436520, 765351, 1094182, 1423013]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultZSetOperations$15.class')","[180455, 509312, 838143, 1166974, 1495805]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.cc.lmsfc.common.test.CommonTest')","[160, 1649191]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ArticleDAO.class')","[73887, 211643, 402744, 540500, 731575, 869331, 1060406, 1198162, 1389237, 1526993]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ReadOnlyProperty.class')","[138281, 467138, 795969, 1124800, 1453631]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JedisConverters$3.class')","[169763, 498620, 827451, 1156282, 1485113]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RevisionRepository.class')","[113171, 442028, 770859, 1099690, 1428521]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultListOperations$13.class')","[193307, 522164, 850995, 1179826, 1508657]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisTemplate$10.class')","[180995, 509852, 838683, 1167514, 1496345]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ArticleTaskJobDAO.class')","[67959, 205035, 396816, 533892, 725647, 862723, 1054478, 1191554, 1383309, 1520385]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ExtensionAwareEvaluationContextProvider$ExtensionAwarePropertyAccessor.class')","[120029, 448886, 777717, 1106548, 1435379]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\Q54_357\\E', '54_357')","[1924, 2306, 2736, 3162, 3540, 3922, 4352, 4778, 5212, 5888, 6629, 7370, 8107, 8835, 9511, 10248, 10976, 11652, 12389, 13117, 13793, 14481, 15235, 15989, 16743, 17497, 18247, 18988, 19676, 20430, 21184, 21934, 22675, 23363, 24113, 24854, 25542, 26296, 27050, 27804, 28554, 29295, 29983, 30737, 31491, 32241, 32982, 33719, 34447, 35123, 35864, 36601, 37329, 38005, 38746, 39487, 40228, 40969, 41710, 42451, 43192, 43933, 44670, 45398, 46074, 46815, 47556, 48297, 49038, 49779, 50520, 51261, 51949, 52703, 53457, 54211, 54965, 55719, 56473, 57227, 57977, 58718, 59455, 60183, 60859, 61600, 62341, 63082, 63819, 64547, 65223, 65964, 66705, 67446, 68187, 68928, 69669, 70410, 71151, 71892, 72633, 73374, 74111, 201967, 202793, 203619, 204445, 205271, 206097, 206923, 207749, 208575, 209401, 210227, 211053, 211879, 212705, 213531, 214357, 215183, 216009, 216835, 217661, 218487, 219313, 220139, 220965, 221791, 222617, 223443, 224269, 225095, 225921, 226747, 227573, 228399, 229225, 230051, 230877, 231703, 232529, 233355, 234181, 235007, 235833, 236659, 237485, 238311, 239137, 239963, 240789, 241615, 242441, 243267, 244093, 244919, 245745, 246571, 247397, 248223, 249049, 249875, 250701, 251527, 252353, 253179, 254005, 254831, 255657, 256483, 257309, 258135, 258961, 259787, 260613, 261439, 262265, 263091, 263917, 264743, 265569, 266395, 267221, 268047, 268873, 269699, 270525, 271351, 272177, 273003, 273829, 274655, 275481, 276307, 277133, 277959, 278785, 279611, 280437, 281263, 282089, 282915, 283741, 284567, 285393, 286219, 287045, 287871, 288697, 289523, 290349, 291175, 292001, 292827, 293653, 294479, 295305, 296131, 296957, 297783, 298609, 299435, 300261, 301087, 301913, 302739, 303565, 304391, 305217, 306043, 306869, 307695, 308521, 309347, 310173, 310999, 311825, 312651, 313477, 314303, 315129, 315955, 316781, 317607, 318433, 319259, 320085, 320911, 321737, 322563, 323389, 324215, 325041, 325867, 326693, 327519, 328345, 329171, 329997, 330781, 331163, 331593, 332019, 332397, 332779, 333209, 333635, 334069, 334745, 335486, 336227, 336964, 337692, 338368, 339105, 339833, 340509, 341246, 341974, 342650, 343338, 344092, 344846, 345600, 346354, 347104, 347845, 348533, 349287, 350041, 350791, 351532, 352220, 352970, 353711, 354399, 355153, 355907, 356661, 357411, 358152, 358840, 359594, 360348, 361098, 361839, 362576, 363304, 363980, 364721, 365458, 366186, 366862, 367603, 368344, 369085, 369826, 370567, 371308, 372049, 372790, 373527, 374255, 374931, 375672, 376413, 377154, 377895, 378636, 379377, 380118, 380806, 381560, 382314, 383068, 383822, 384576, 385330, 386084, 386834, 387575, 388312, 389040, 389716, 390457, 391198, 391939, 392676, 393404, 394080, 394821, 395562, 396303, 397044, 397785, 398526, 399267, 400008, 400749, 401490, 402231, 402968, 530824, 531650, 532476, 533302, 534128, 534954, 535780, 536606, 537432, 538258, 539084, 539910, 540736, 541562, 542388, 543214, 544040, 544866, 545692, 546518, 547344, 548170, 548996, 549822, 550648, 551474, 552300, 553126, 553952, 554778, 555604, 556430, 557256, 558082, 558908, 559734, 560560, 561386, 562212, 563038, 563864, 564690, 565516, 566342, 567168, 567994, 568820, 569646, 570472, 571298, 572124, 572950, 573776, 574602, 575428, 576254, 577080, 577906, 578732, 579558, 580384, 581210, 582036, 582862, 583688, 584514, 585340, 586166, 586992, 587818, 588644, 589470, 590296, 591122, 591948, 592774, 593600, 594426, 595252, 596078, 596904, 597730, 598556, 599382, 600208, 601034, 601860, 602686, 603512, 604338, 605164, 605990, 606816, 607642, 608468, 609294, 610120, 610946, 611772, 612598, 613424, 614250, 615076, 615902, 616728, 617554, 618380, 619206, 620032, 620858, 621684, 622510, 623336, 624162, 624988, 625814, 626640, 627466, 628292, 629118, 629944, 630770, 631596, 632422, 633248, 634074, 634900, 635726, 636552, 637378, 638204, 639030, 639856, 640682, 641508, 642334, 643160, 643986, 644812, 645638, 646464, 647290, 648116, 648942, 649768, 650594, 651420, 652246, 653072, 653898, 654724, 655550, 656376, 657202, 658028, 658854, 659612, 659994, 660424, 660850, 661228, 661610, 662040, 662466, 662900, 663576, 664317, 665058, 665795, 666523, 667199, 667936, 668664, 669340, 670077, 670805, 671481, 672169, 672923, 673677, 674431, 675185, 675935, 676676, 677364, 678118, 678872, 679622, 680363, 681051, 681801, 682542, 683230, 683984, 684738, 685492, 686242, 686983, 687671, 688425, 689179, 689929, 690670, 691407, 692135, 692811, 693552, 694289, 695017, 695693, 696434, 697175, 697916, 698657, 699398, 700139, 700880, 701621, 702358, 703086, 703762, 704503, 705244, 705985, 706726, 707467, 708208, 708949, 709637, 710391, 711145, 711899, 712653, 713407, 714161, 714915, 715665, 716406, 717143, 717871, 718547, 719288, 720029, 720770, 721507, 722235, 722911, 723652, 724393, 725134, 725875, 726616, 727357, 728098, 728839, 729580, 730321, 731062, 731799, 859655, 860481, 861307, 862133, 862959, 863785, 864611, 865437, 866263, 867089, 867915, 868741, 869567, 870393, 871219, 872045, 872871, 873697, 874523, 875349, 876175, 877001, 877827, 878653, 879479, 880305, 881131, 881957, 882783, 883609, 884435, 885261, 886087, 886913, 887739, 888565, 889391, 890217, 891043, 891869, 892695, 893521, 894347, 895173, 895999, 896825, 897651, 898477, 899303, 900129, 900955, 901781, 902607, 903433, 904259, 905085, 905911, 906737, 907563, 908389, 909215, 910041, 910867, 911693, 912519, 913345, 914171, 914997, 915823, 916649, 917475, 918301, 919127, 919953, 920779, 921605, 922431, 923257, 924083, 924909, 925735, 926561, 927387, 928213, 929039, 929865, 930691, 931517, 932343, 933169, 933995, 934821, 935647, 936473, 937299, 938125, 938951, 939777, 940603, 941429, 942255, 943081, 943907, 944733, 945559, 946385, 947211, 948037, 948863, 949689, 950515, 951341, 952167, 952993, 953819, 954645, 955471, 956297, 957123, 957949, 958775, 959601, 960427, 961253, 962079, 962905, 963731, 964557, 965383, 966209, 967035, 967861, 968687, 969513, 970339, 971165, 971991, 972817, 973643, 974469, 975295, 976121, 976947, 977773, 978599, 979425, 980251, 981077, 981903, 982729, 983555, 984381, 985207, 986033, 986859, 987685, 988443, 988825, 989255, 989681, 990059, 990441, 990871, 991297, 991731, 992407, 993148, 993889, 994626, 995354, 996030, 996767, 997495, 998171, 998908, 999636, 1000312, 1001000, 1001754, 1002508, 1003262, 1004016, 1004766, 1005507, 1006195, 1006949, 1007703, 1008453, 1009194, 1009882, 1010632, 1011373, 1012061, 1012815, 1013569, 1014323, 1015073, 1015814, 1016502, 1017256, 1018010, 1018760, 1019501, 1020238, 1020966, 1021642, 1022383, 1023120, 1023848, 1024524, 1025265, 1026006, 1026747, 1027488, 1028229, 1028970, 1029711, 1030452, 1031189, 1031917, 1032593, 1033334, 1034075, 1034816, 1035557, 1036298, 1037039, 1037780, 1038468, 1039222, 1039976, 1040730, 1041484, 1042238, 1042992, 1043746, 1044496, 1045237, 1045974, 1046702, 1047378, 1048119, 1048860, 1049601, 1050338, 1051066, 1051742, 1052483, 1053224, 1053965, 1054706, 1055447, 1056188, 1056929, 1057670, 1058411, 1059152, 1059893, 1060630, 1188486, 1189312, 1190138, 1190964, 1191790, 1192616, 1193442, 1194268, 1195094, 1195920, 1196746, 1197572, 1198398, 1199224, 1200050, 1200876, 1201702, 1202528, 1203354, 1204180, 1205006, 1205832, 1206658, 1207484, 1208310, 1209136, 1209962, 1210788, 1211614, 1212440, 1213266, 1214092, 1214918, 1215744, 1216570, 1217396, 1218222, 1219048, 1219874, 1220700, 1221526, 1222352, 1223178, 1224004, 1224830, 1225656, 1226482, 1227308, 1228134, 1228960, 1229786, 1230612, 1231438, 1232264, 1233090, 1233916, 1234742, 1235568, 1236394, 1237220, 1238046, 1238872, 1239698, 1240524, 1241350, 1242176, 1243002, 1243828, 1244654, 1245480, 1246306, 1247132, 1247958, 1248784, 1249610, 1250436, 1251262, 1252088, 1252914, 1253740, 1254566, 1255392, 1256218, 1257044, 1257870, 1258696, 1259522, 1260348, 1261174, 1262000, 1262826, 1263652, 1264478, 1265304, 1266130, 1266956, 1267782, 1268608, 1269434, 1270260, 1271086, 1271912, 1272738, 1273564, 1274390, 1275216, 1276042, 1276868, 1277694, 1278520, 1279346, 1280172, 1280998, 1281824, 1282650, 1283476, 1284302, 1285128, 1285954, 1286780, 1287606, 1288432, 1289258, 1290084, 1290910, 1291736, 1292562, 1293388, 1294214, 1295040, 1295866, 1296692, 1297518, 1298344, 1299170, 1299996, 1300822, 1301648, 1302474, 1303300, 1304126, 1304952, 1305778, 1306604, 1307430, 1308256, 1309082, 1309908, 1310734, 1311560, 1312386, 1313212, 1314038, 1314864, 1315690, 1316516, 1317274, 1317656, 1318086, 1318512, 1318890, 1319272, 1319702, 1320128, 1320562, 1321238, 1321979, 1322720, 1323457, 1324185, 1324861, 1325598, 1326326, 1327002, 1327739, 1328467, 1329143, 1329831, 1330585, 1331339, 1332093, 1332847, 1333597, 1334338, 1335026, 1335780, 1336534, 1337284, 1338025, 1338713, 1339463, 1340204, 1340892, 1341646, 1342400, 1343154, 1343904, 1344645, 1345333, 1346087, 1346841, 1347591, 1348332, 1349069, 1349797, 1350473, 1351214, 1351951, 1352679, 1353355, 1354096, 1354837, 1355578, 1356319, 1357060, 1357801, 1358542, 1359283, 1360020, 1360748, 1361424, 1362165, 1362906, 1363647, 1364388, 1365129, 1365870, 1366611, 1367299, 1368053, 1368807, 1369561, 1370315, 1371069, 1371823, 1372577, 1373327, 1374068, 1374805, 1375533, 1376209, 1376950, 1377691, 1378432, 1379169, 1379897, 1380573, 1381314, 1382055, 1382796, 1383537, 1384278, 1385019, 1385760, 1386501, 1387242, 1387983, 1388724, 1389461, 1517317, 1518143, 1518969, 1519795, 1520621, 1521447, 1522273, 1523099, 1523925, 1524751, 1525577, 1526403, 1527229, 1528055, 1528881, 1529707, 1530533, 1531359, 1532185, 1533011, 1533837, 1534663, 1535489, 1536315, 1537141, 1537967, 1538793, 1539619, 1540445, 1541271, 1542097, 1542923, 1543749, 1544575, 1545401, 1546227, 1547053, 1547879, 1548705, 1549531, 1550357, 1551183, 1552009, 1552835, 1553661, 1554487, 1555313, 1556139, 1556965, 1557791, 1558617, 1559443, 1560269, 1561095, 1561921, 1562747, 1563573, 1564399, 1565225, 1566051, 1566877, 1567703, 1568529, 1569355, 1570181, 1571007, 1571833, 1572659, 1573485, 1574311, 1575137, 1575963, 1576789, 1577615, 1578441, 1579267, 1580093, 1580919, 1581745, 1582571, 1583397, 1584223, 1585049, 1585875, 1586701, 1587527, 1588353, 1589179, 1590005, 1590831, 1591657, 1592483, 1593309, 1594135, 1594961, 1595787, 1596613, 1597439, 1598265, 1599091, 1599917, 1600743, 1601569, 1602395, 1603221, 1604047, 1604873, 1605699, 1606525, 1607351, 1608177, 1609003, 1609829, 1610655, 1611481, 1612307, 1613133, 1613959, 1614785, 1615611, 1616437, 1617263, 1618089, 1618915, 1619741, 1620567, 1621393, 1622219, 1623045, 1623871, 1624697, 1625523, 1626349, 1627175, 1628001, 1628827, 1629653, 1630479, 1631305, 1632131, 1632957, 1633783, 1634609, 1635435, 1636261, 1637087, 1637913, 1638739, 1639565, 1640391, 1641217, 1642043, 1642869, 1643695, 1644521, 1645347, 1646105, 1646487, 1646917, 1647343, 1647721, 1648103, 1648533, 1648959]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LettuceConnection$4.class')","[160151, 489008, 817839, 1146670, 1475501]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisCache$5.class')","[144437, 473294, 802125, 1130956, 1459787]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AnnotationDetectionFieldCallback.class')","[111065, 439922, 768753, 1097584, 1426415]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AbstractMappingContext$1.class')","[106745, 435602, 764433, 1093264, 1422095]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QUserDAOImpl.class\\E', 'ArticleCategoryDAO.class')","[214121, 602450, 931281, 1270024, 1618679]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ArticleSpec.class')","[35636, 364493, 693324, 1022155, 1350986]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QUserDAOImpl.class\\E', 'RoleDAO.class')","[219077, 607406, 936237, 1274980, 1623635]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QFilterDetailDAOImpl.class\\E', 'ArticleElementDAO.class')","[304981, 653662, 972581, 1301412, 1531123]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'PreferredConstructor.class')","[107447, 436304, 765135, 1093966, 1422797]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ParameterizedTypeInformation.class')","[110687, 439544, 768375, 1097206, 1426037]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QUserDAOImpl.class\\E', 'ArticleDAO.class')","[221555, 609884, 938715, 1277458, 1626113]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RepositoryMetadata.class')","[137741, 466598, 795429, 1124260, 1453091]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AbstractMappingContext$PersistentPropertyFilter$PropertyMatch.class')","[107069, 435926, 764757, 1093588, 1422419]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisCollectionFactoryBean$1.class')","[171977, 500834, 829665, 1158496, 1487327]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'mapping')","[75155, 101291, 404012, 430148, 732843, 758979, 1061674, 1087810, 1390505, 1416641]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultRepositoryInformation.class')","[134123, 462980, 791811, 1120642, 1449473]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'MappingAuditableBeanWrapperFactory$MappingMetadataAuditableBeanWrapper.class')","[141953, 470810, 799641, 1128472, 1457303]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Version.class')","[111119, 138875, 144005, 439976, 467732, 472862, 768807, 796563, 801693, 1097638, 1125394, 1130524, 1426469, 1454225, 1459355]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultRedisSet$DefaultRedisSetIterator.class')","[174245, 503102, 831933, 1160764, 1489595]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RepositoryComponentProvider.class')","[125213, 454070, 782901, 1111732, 1440563]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaEntityGraph.class')","[86441, 415298, 744129, 1072960, 1401791]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'spring-repository-1.4.xsd')","[125105, 453962, 782793, 1111624, 1440455]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LettuceConnection$LettuceStatusResult.class')","[162581, 491438, 820269, 1149100, 1477931]"
"('DisabledAlgorithmConstraints.java', 'sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraints', '<init>', '(\\S+)\\s+keySize\\s*(<=|<|==|!=|>|>=)\\s*(\\d+)', 'SSLv3')",[617]
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QUserDAOImpl.class\\E', 'ArticleTaskJobDAO.class')","[214947, 603276, 932107, 1270850, 1619505]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'web')","[101507, 430364, 759195, 1088026, 1416857]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisTemplate$1.class')","[197843, 526700, 855531, 1184362, 1513193]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultHashOperations$8.class')","[184127, 512984, 841815, 1170646, 1499477]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AuditingHandlerBeanDefinitionParser.class')","[142493, 471350, 800181, 1129012, 1457843]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Message.class')","[147677, 476534, 805365, 1134196, 1463027]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'FilterRule$2.class')","[15757, 344614, 673445, 1002276, 1331107]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Subscription.class')","[151781, 480638, 809469, 1138300, 1467131]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'PropertyPath$1.class')","[105719, 434576, 763407, 1092238, 1421069]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'PersistenceProvider$4.class')","[80609, 409466, 738297, 1067128, 1395959]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaQueryLookupStrategy.class')","[89681, 418538, 747369, 1076200, 1405031]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'SimpleJpaQuery.class')","[85361, 414218, 743049, 1071880, 1400711]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'GeoModule$DistanceMixin.class')","[107987, 436844, 765675, 1094506, 1423337]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultHashOperations$14$1$1.class')","[183911, 512768, 841599, 1170430, 1499261]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'filter')","[18760, 347617, 676448, 1005279, 1334110]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'utils')","[75101, 403958, 732789, 1061620, 1390451]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LastModifiedDate.class')","[138659, 467516, 796347, 1125178, 1454009]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultZSetOperations$11.class')","[181535, 510392, 839223, 1168054, 1496885]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'DefaultBoundHashOperations.class')","[191471, 520328, 849159, 1177990, 1506821]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ArticleService.class')","[47328, 376185, 705016, 1033847, 1362678]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LettuceConverters$5.class')","[162257, 491114, 819945, 1148776, 1477607]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RepositoryInformation.class')","[130451, 459308, 788139, 1116970, 1445801]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'MappingException.class')","[105395, 434252, 763083, 1091914, 1420745]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JpaSort$Path.class')","[76505, 405362, 734193, 1063024, 1391855]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisListCommands$Position.class')","[149081, 477938, 806769, 1135600, 1464431]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'JodaTimeConverters$DateTimeToDateConverter.class')","[112469, 441326, 770157, 1098988, 1427819]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ParametersParameterAccessor$BindableParameterIterator.class')","[117437, 446294, 775125, 1103956, 1432787]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\QArticleCategoryDAOImpl.class\\E', 'ArticleCategoryDAO.class')","[263681, 562802, 941193, 1210552, 1608767]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'PartTree$Subject.class')","[113873, 442730, 771561, 1100392, 1429223]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RedisTemplate$6.class')","[189743, 518600, 847431, 1176262, 1505093]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AuditingBeanFactoryPostProcessor.class')","[76937, 405794, 734625, 1063456, 1392287]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ParametersParameterAccessor.class')","[117599, 446456, 775287, 1104118, 1432949]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Temporal.class')","[78233, 407090, 735921, 1064752, 1393583]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'RepositoryConfigurationExtensionSupport.class')","[128993, 457850, 786681, 1115512, 1444343]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LettuceConverters$10.class')","[160799, 489656, 818487, 1147318, 1476149]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ValueOperations.class')","[187907, 516764, 845595, 1174426, 1503257]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'AbstractPageRequest.class')","[140981, 469838, 798669, 1127500, 1456331]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ParameterMetadataProvider$ParameterMetadata.class')","[94217, 423074, 751905, 1080736, 1409567]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'auditing')","[102749, 431606, 760437, 1089268, 1418099]"
