"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[13](com.qulice.checkstyle.ChecksTest)')","[974, 2460]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'catchesCheckstyleViolationsInLicense(com.qulice.checkstyle.CheckstyleValidatorTest)')","[1417, 2838]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTruePositive[5](com.qulice.checkstyle.ChecksTest)')","[415, 2069]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', '[12]')",[861]
"('JavadocTagsCheck.java', 'com.qulice.checkstyle.JavadocTagsCheck', 'matchTagFormat', '^([A-Z](\\.|[a-z]+) )+\\([A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\\.[A-Za-z]{2,4}\\)$', 'Gerrit (han.solo@xmpp.mobilezoo.org)')",[8029]
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '        // more than one and and has a commented out line of code.')",[4546]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', '[6]')",[459]
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '    //@todo')",[3988]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'null')","[17, 1125]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '    }')","[3954, 4022, 4301, 4441, 4721, 18326, 19318]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[12](com.qulice.checkstyle.ChecksTest)')","[907, 2414]"
"('JavadocTagsCheck.java', 'com.qulice.checkstyle.JavadocTagsCheck', 'matchTagFormat', '^([A-Z](\\.|[a-z]+) )+\\([A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\\.[A-Za-z]{2,4}\\)$', 'Third Author (third@author.com)')",[3454]
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '            int very_long_variable_id = 0;')","[18911, 19609, 19645]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '            "" because it has a really long description that spans more than"" +')",[4651]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTruePositive[13](com.qulice.checkstyle.ChecksTest)')","[951, 2437]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'rejectsUppercaseAbbreviations(com.qulice.checkstyle.CheckstyleValidatorTest)')","[1312, 2728]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '            throw new IllegalStateException(e);')",[4231]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'allowsOnlyProperlyNamedLocalVariables(com.qulice.checkstyle.CheckstyleValidatorTest)')","[1627, 3058]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'reportsErrorWhenParameterObjectIsNotDocumented(com.qulice.checkstyle.CheckstyleValidatorTest)')","[1522, 2948]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '    public void methodwithAnonymousInnerClass() {')","[5621, 5658, 15855, 15891]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '            final int twelveletter = ++aaa + ++id;')",[18104]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', '[10]')",[727]
"('JavadocTagsCheck.java', 'com.qulice.checkstyle.JavadocTagsCheck', 'matchTagFormat', '^\\$Id.*\\$$', '$Id $')",[13517]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTruePositive[8](com.qulice.checkstyle.ChecksTest)')","[616, 2207]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'reportsErrorOnMoreThanOneReturnStatement(com.qulice.checkstyle.CheckstyleValidatorTest)')","[1669, 3102]"
"('JavadocTagsCheck.java', 'com.qulice.checkstyle.JavadocTagsCheck', 'matchTagFormat', '^([A-Z](\\.|[a-z]+) )+\\([A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\\.[A-Za-z]{2,4}\\)$', 'Some Name (some@name.com)')",[3718]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[15](com.qulice.checkstyle.ChecksTest)')","[1108, 2552]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '    public void someUnimplementedMethod() {')",[4336]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'allowsSpacesBetweenMethodsOfAnonymousClasses(com.qulice.checkstyle.CheckstyleValidatorTest)')","[1585, 3014]"
"('JavadocTagsCheck.java', 'com.qulice.checkstyle.JavadocTagsCheck', 'matchTagFormat', '^\\d+(\\.\\d+){1,2}(\\.[0-9A-Za-z-]+(\\.[0-9A-Za-z-]+)*)?$', '0.28.3')",[3751]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTruePositive[7](com.qulice.checkstyle.ChecksTest)')","[549, 2161]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[10](com.qulice.checkstyle.ChecksTest)')","[773, 2322]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[5](com.qulice.checkstyle.ChecksTest)')","[438, 2092]"
"('SuppressWarningsCheck.java', 'com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck', 'logMatch', '^$|^\\s+$', 'PMD.AvoidDuplicateLiterals')",[15314]
"('JavadocTagsCheck.java', 'com.qulice.checkstyle.JavadocTagsCheck', 'matchTagFormat', '^\\$Id.*\\$$', '1.1 - incorrect format')",[3355]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'allowsOnlyProperlyOrderedAtClauses(com.qulice.checkstyle.CheckstyleValidatorTest)')","[1690, 3124]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTruePositive[0](com.qulice.checkstyle.ChecksTest)')","[80, 1839]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTruePositive[6](com.qulice.checkstyle.ChecksTest)')","[482, 2115]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'rejectsSpacesInsideMethods(com.qulice.checkstyle.CheckstyleValidatorTest)')","[1207, 2618]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', '[3]')",[258]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', '[4]')",[325]
